[R27Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
2 3 4 5 6 7 8 9 1 11 12 13 14 15 16 17 18 10 20 21 22 23 24 25 26 27 19 
3 4 5 6 7 8 9 1 2 12 13 14 15 16 17 18 10 11 21 22 23 24 25 26 27 19 20 
4 5 6 7 8 9 1 2 3 13 14 15 16 17 18 10 11 12 22 23 24 25 26 27 19 20 21 
5 6 7 8 9 1 2 3 4 14 15 16 17 18 10 11 12 13 23 24 25 26 27 19 20 21 22 
6 7 8 9 1 2 3 4 5 15 16 17 18 10 11 12 13 14 24 25 26 27 19 20 21 22 23 
7 8 9 1 2 3 4 5 6 16 17 18 10 11 12 13 14 15 25 26 27 19 20 21 22 23 24 
8 9 1 2 3 4 5 6 7 17 18 10 11 12 13 14 15 16 26 27 19 20 21 22 23 24 25 
9 1 2 3 4 5 6 7 8 18 10 11 12 13 14 15 16 17 27 19 20 21 22 23 24 25 26 
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 4 5 6 7 8 9 1 2 3 
11 12 13 14 15 16 17 18 10 20 21 22 23 24 25 26 27 19 5 6 7 8 9 1 2 3 4 
12 13 14 15 16 17 18 10 11 21 22 23 24 25 26 27 19 20 6 7 8 9 1 2 3 4 5 
13 14 15 16 17 18 10 11 12 22 23 24 25 26 27 19 20 21 7 8 9 1 2 3 4 5 6 
14 15 16 17 18 10 11 12 13 23 24 25 26 27 19 20 21 22 8 9 1 2 3 4 5 6 7 
15 16 17 18 10 11 12 13 14 24 25 26 27 19 20 21 22 23 9 1 2 3 4 5 6 7 8 
16 17 18 10 11 12 13 14 15 25 26 27 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 
17 18 10 11 12 13 14 15 16 26 27 19 20 21 22 23 24 25 2 3 4 5 6 7 8 9 1 
18 10 11 12 13 14 15 16 17 27 19 20 21 22 23 24 25 26 3 4 5 6 7 8 9 1 2 
19 20 21 22 23 24 25 26 27 4 5 6 7 8 9 1 2 3 13 14 15 16 17 18 10 11 12 
20 21 22 23 24 25 26 27 19 5 6 7 8 9 1 2 3 4 14 15 16 17 18 10 11 12 13 
21 22 23 24 25 26 27 19 20 6 7 8 9 1 2 3 4 5 15 16 17 18 10 11 12 13 14 
22 23 24 25 26 27 19 20 21 7 8 9 1 2 3 4 5 6 16 17 18 10 11 12 13 14 15 
23 24 25 26 27 19 20 21 22 8 9 1 2 3 4 5 6 7 17 18 10 11 12 13 14 15 16 
24 25 26 27 19 20 21 22 23 9 1 2 3 4 5 6 7 8 18 10 11 12 13 14 15 16 17 
25 26 27 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
26 27 19 20 21 22 23 24 25 2 3 4 5 6 7 8 9 1 11 12 13 14 15 16 17 18 10 
27 19 20 21 22 23 24 25 26 3 4 5 6 7 8 9 1 2 12 13 14 15 16 17 18 10 11 
[R27Mul]
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 24 14 4 27 17 7 21 11 2 25 15 5 19 18 8 22 12 3 26 16 6 20 10 9 23 13 
1 14 27 7 11 24 4 17 21 3 16 20 9 13 26 6 10 23 5 18 22 2 15 19 8 12 25 
1 4 7 1 4 7 1 4 7 4 7 1 4 7 1 4 7 1 7 1 4 7 1 4 7 1 4 
1 27 11 4 21 14 7 24 17 5 22 15 8 25 18 2 19 12 9 26 10 3 20 13 6 23 16 
1 17 24 7 14 21 4 11 27 6 13 20 3 10 26 9 16 23 2 18 25 8 15 22 5 12 19 
1 7 4 1 7 4 1 7 4 7 4 1 7 4 1 7 4 1 4 1 7 4 1 7 4 1 7 
1 21 17 4 24 11 7 27 14 8 19 15 2 22 18 5 25 12 6 26 13 9 20 16 3 23 10 
1 11 21 7 17 27 4 14 24 9 10 20 6 16 26 3 13 23 8 18 19 5 15 25 2 12 22 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
1 25 16 7 22 13 4 19 10 11 2 26 17 8 23 14 5 20 21 12 3 27 18 9 24 15 6 
1 15 20 1 15 20 1 15 20 12 26 7 12 26 7 12 26 7 23 4 18 23 4 18 23 4 18 
1 5 9 4 8 3 7 2 6 13 17 12 16 11 15 10 14 18 25 20 24 19 23 27 22 26 21 
1 19 13 7 25 10 4 22 16 14 8 26 11 5 23 17 2 20 27 12 6 24 18 3 21 15 9 
1 18 26 1 18 26 1 18 26 15 23 7 15 23 7 15 23 7 20 4 12 20 4 12 20 4 12 
1 8 6 4 2 9 7 5 3 16 14 12 10 17 15 13 11 18 22 20 27 25 23 21 19 26 24 
1 22 10 7 19 16 4 25 13 17 5 26 14 2 23 11 8 20 24 12 9 21 18 6 27 15 3 
1 12 23 1 12 23 1 12 23 18 20 7 18 20 7 18 20 7 26 4 15 26 4 15 26 4 15 
1 3 5 7 9 2 4 6 8 19 21 23 25 27 20 22 24 26 13 15 17 10 12 14 16 18 11 
1 26 18 1 26 18 1 26 18 20 12 4 20 12 4 20 12 4 15 7 23 15 7 23 15 7 23 
1 16 22 4 10 25 7 13 19 21 3 18 24 6 12 27 9 15 17 23 5 11 26 8 14 20 2 
1 6 2 7 3 8 4 9 5 22 27 23 19 24 20 25 21 26 10 15 11 16 12 17 13 18 14 
1 20 15 1 20 15 1 20 15 23 18 4 23 18 4 23 18 4 12 7 26 12 7 26 12 7 26 
1 10 19 4 13 22 7 16 25 24 9 18 27 3 12 21 6 15 14 23 8 17 26 2 11 20 5 
1 9 8 7 6 5 4 3 2 25 24 23 22 21 20 19 27 26 16 15 14 13 12 11 10 18 17 
1 23 12 1 23 12 1 23 12 26 15 4 26 15 4 26 15 4 18 7 20 18 7 20 18 7 20 
1 13 25 4 16 19 7 10 22 27 6 18 21 9 12 24 3 15 11 23 2 14 26 5 17 20 8 
