1,[[0,0,15]]
2,[[0,0,1],[0,8,2],[1,11,4],[1,13,8]]
3,[[0,8,1],[0,12,2],[1,13,4],[1,14,8]]
4,[[0,0,3],[0,8,4],[1,11,8]]
5,[[0,0,7],[1,7,8]]
6,[[0,8,1],[1,7,1],[1,11,3],[1,13,6],[1,14,4]]
7,[[0,8,3],[1,11,4],[1,14,8]]
8,[[0,0,3],[0,8,4],[1,11,8]]
9,[[0,0,7],[1,7,8]]
10,[[0,0,3],[0,8,4],[1,11,8]]
11,[[0,0,1],[0,8,2],[1,11,4],[1,13,8]]
12,[[0,0,15]]
13,[[0,0,7],[1,7,8]]
14,[[0,0,1],[0,8,2],[1,7,2],[1,11,6],[1,13,4]]
15,[[0,0,3],[1,7,8],[1,11,4]]
16,[[0,0,3],[0,8,12]]
17,[[0,0,3],[0,8,4],[1,11,8]]
18,[[0,0,7],[0,8,4],[1,7,4]]
19,[[0,0,3],[0,8,4],[1,11,8]]
20,[[0,0,1],[0,8,2],[1,11,4],[1,14,8]]
21,[[0,0,7],[0,8,4],[1,7,4]]
22,[[0,0,7],[1,7,8]]
23,[[0,8,3],[1,11,4],[1,13,8]]
24,[[0,0,3],[0,8,4],[1,11,8]]
25,[[0,0,3],[0,8,4],[1,11,8]]
26,[[0,0,3],[0,8,4],[1,7,8]]
27,[[0,0,3],[0,8,4],[1,11,8]]
28,[[0,0,7],[0,8,4],[1,7,4]]
29,[[0,0,7],[1,7,8]]
30,[[0,0,1],[0,8,2],[1,7,4],[1,11,8]]
31,[[0,0,3],[0,8,4],[1,7,8]]
32,[[0,8,1],[0,12,2],[1,11,4],[1,14,8]]
33,[[0,0,3],[1,7,12]]
34,[[0,0,1],[0,8,2],[1,7,4],[1,11,8]]
67,[[0,0,3],[0,8,4],[1,7,8]]
68,[[0,0,7],[1,11,8]]
69,[[0,0,7],[1,11,8]]
70,[[0,0,3],[1,11,12]]
71,[[0,0,3],[0,8,4],[1,7,8]]
72,[[0,0,3],[0,8,8],[1,11,4]]
73,[[0,0,3],[1,7,12]]
74,[[0,0,3],[1,7,4],[1,11,8]]
75,[[0,0,3],[1,7,8],[1,11,4]]
