id,str
1,[1]
2,[3]
3,[2]
4,[4]
5,[5]
6,[1]
7,[3,7]
8,[9]
9,[9]
10,[9]
11,[12]
12,[12]
13,[10]
14,[12]
15,[10]
16,[10]
17,[4,22]
18,[2,8]
19,[1,5,22]
20,[3,23]
21,[3,20]
22,[12]
23,[22]
24,[3,11]
25,[8]
26,[1,12]
27,[1,16]
28,[2,27]
29,[2,10]
30,[3,6]
31,[4,30]
32,[4,9]
33,[5,12]
34,[5,16]
35,[7]
1400,[11,112]
1401,[11,113]
1402,[67]
1403,[10,19,108]
1404,[10,25,67]
1405,[18,107]
1406,[20,101]
1407,[23,102]
1408,[108]
1409,[109]
1410,[7,31,110]
1411,[6,104]
1412,[53]
1413,[12,107]
1414,[16,112]
1415,[12,14,96]
1416,[10,28,98]
1417,[27,113]
1418,[10,24,96]
1419,[8,17,111]
1420,[7,33,110]
1421,[67]
1422,[108]
1423,[98]
1425,[9,107]
1426,[9,15,29,96]
1428,[13,17,91,515]
1429,[28,53]
1431,[19,25,32,96]
1432,[10,32,69]
1433,[8,22,91,515]
1434,[96]
1435,[98]
1441,[8,13,17,91]
1447,[14,107]
1450,[9,12,97]
1451,[53]
1452,[99]
1453,[98]
2500,[20,23,201]
2501,[7,205]
2502,[200]
2503,[11,20,203]
2504,[11,219]
2505,[6,11,221]
2506,[11,220]
2507,[6,222]
2508,[6,223]
2509,[6,244]
2510,[6,216]
2511,[227]
2512,[11,23,204]
2513,[8,10,200]
2514,[16,210]
2515,[27,217]
2516,[30,210]
2517,[16,230]
2518,[27,236]
2519,[30,230]
2520,[16,226]
2521,[27,225]
2522,[30,226]
2523,[16,229]
2524,[27,235]
2525,[30,229]
2526,[12,16,228]
2527,[10,27,214]
2528,[9,30,228]
2529,[12,14,232]
2530,[10,28,508]
2531,[9,15,29,232]
2532,[12,206]
2533,[211]
2534,[10,212]
2535,[218]
2536,[6,23,245]
2539,[9,206]
2541,[10,25,263]
2542,[19,24,32,263]
2543,[212]
2544,[25,214]
2545,[21,228]
2546,[32,212]
2547,[32,214]
2548,[212]
2549,[24,214]
2550,[212]
2551,[8,27,249]
2552,[212]
2554,[212]
2559,[212]
2560,[9,12,22,200]
2561,[206]
2562,[7,11,251]
2563,[6,7,166]
2564,[13,200]
2566,[14,206]
2567,[14,228]
2568,[15,206]
2671,[249,515]
2672,[18,206]
2673,[18,228]
