id,str
1,[[1,1]]
2,[[4,1]]
3,[[2,1]]
4,[[1,1]]
5,[[1,1]]
6,[[2,1],[7,1]]
7,[[3,2],[16,1]]
8,[[5,1]]
9,[[4,1],[5,1]]
10,[[2,1],[5,1]]
11,[[3,1],[16,1]]
12,[[1,1],[5,1]]
13,[[5,1]]
14,[[1,1],[4,1],[9,1]]
15,[[1,1],[4,1],[9,1]]
16,[[1,1],[7,1]]
17,[[5,1]]
18,[[1,1],[4,1],[5,1]]
19,[[2,1],[5,1]]
20,[[3,2],[16,1]]
21,[[1,1],[4,1],[5,1]]
22,[[5,1]]
23,[[3,2],[16,1]]
24,[[2,1],[5,1]]
25,[[2,1],[5,1]]
26,[[1,1],[4,1],[5,1]]
27,[[3,1],[3,2],[17,1]]
28,[[2,1],[9,1]]
29,[[4,1],[9,1]]
30,[[4,1],[7,1]]
31,[[3,2],[12,1]]
32,[[2,1],[5,1]]
33,[[3,2],[54,1]]
34,[[16,1],[23,1]]
35,[[16,1],[23,1]]
36,[[16,1],[23,1]]
37,[[5,1],[16,1],[23,1]]
38,[[5,1],[16,1],[23,1]]
39,[[5,1],[16,1],[23,1]]
40,[[5,1],[16,1],[23,1]]
41,[[5,1],[23,1]]
42,[[5,1],[23,1]]
43,[[5,1],[23,1]]
44,[[5,1],[23,1]]
45,[[16,1],[23,1]]
46,[[5,1],[23,1]]
47,[[5,1],[16,1],[23,1]]
48,[[5,1],[16,1],[23,1]]
49,[[5,1],[16,1],[23,1]]
50,[[5,1],[16,1],[23,1]]
51,[[16,1],[23,1]]
52,[[16,1],[23,1]]
53,[[5,1],[16,1],[23,1]]
54,[[5,1],[23,1]]
55,[[16,1],[23,1]]
56,[[16,1],[23,1]]
57,[[5,1],[16,1],[23,1]]
58,[[5,1],[23,1]]
59,[[5,1],[16,1],[23,1]]
60,[[5,1],[23,1]]
61,[[5,1],[16,1],[23,1]]
62,[[5,1],[16,1],[23,1]]
63,[[5,1],[23,1]]
64,[[5,1],[16,1],[23,1]]
65,[[16,1],[23,1]]
66,[[16,1],[23,1]]
67,[[5,1],[16,1]]
68,[[5,1],[16,1],[23,1]]
69,[[5,1],[16,1],[23,1]]
70,[[16,1],[23,1]]
71,[[16,1],[23,1]]
72,[[5,1],[16,1],[23,1]]
73,[[5,1],[16,1],[23,1]]
74,[[16,1],[23,1]]
75,[[16,1],[23,1]]
76,[[16,1],[23,1]]
77,[[5,1],[23,1]]
78,[[23,1]]
79,[[23,1]]
80,[[5,1],[23,1]]
81,[[16,1],[23,1]]
82,[[5,1],[23,1]]
83,[[5,1],[16,1],[23,1]]
84,[[5,1],[23,1]]
85,[[5,1],[16,1],[23,1]]
86,[[5,1],[16,1],[23,1]]
87,[[5,1],[23,1]]
88,[[16,1],[23,1]]
