[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
2 4 6 8 12 10 14 11 16 18 19 25 28 23 38 27 44 24 15 30 33 40 34 35 20 45 22 29 41 48 49 50 39 37 42 52 53 43 31 55 56 57 1 58 61 72 68 36 64 65 71 66 46 79 32 67 62 47 69 70 59 3 78 60 9 5 51 77 74 75 76 73 7 63 21 13 54 81 80 17 26 
3 6 7 10 13 14 1 18 21 23 24 28 17 2 42 33 5 34 35 41 26 31 4 37 29 9 39 44 58 56 59 60 45 8 53 51 11 57 61 49 47 46 62 12 16 15 20 67 69 70 54 71 19 36 64 68 72 25 22 63 27 73 32 74 75 76 77 30 40 78 79 38 43 55 81 80 48 50 52 66 65 
4 8 10 11 25 18 23 19 27 24 15 20 29 34 43 22 58 35 38 48 39 55 37 42 30 61 40 41 56 36 64 65 31 53 57 66 46 1 49 32 67 62 2 47 59 73 77 52 60 9 76 5 72 80 50 51 3 68 74 75 69 6 81 70 16 12 71 54 63 21 13 7 14 78 33 28 79 26 17 44 45 
5 12 13 25 9 28 17 20 1 29 30 16 21 44 36 2 26 41 48 22 3 8 58 56 27 7 4 33 39 40 18 15 6 47 67 32 68 52 10 11 31 51 66 45 14 54 59 55 24 38 60 50 77 63 19 49 71 61 34 42 23 76 46 35 43 65 64 69 37 57 70 79 80 53 62 75 74 72 78 81 73 
6 10 14 18 28 23 2 24 33 34 35 29 44 4 57 39 12 37 42 56 45 49 8 53 41 16 31 58 47 67 69 70 61 11 46 71 19 62 59 64 68 72 3 25 27 38 30 51 74 75 79 76 15 52 60 77 73 20 40 78 22 7 50 63 21 13 54 48 55 81 80 43 1 32 26 17 36 65 66 5 9 
7 14 1 23 17 2 3 34 26 4 37 44 5 6 46 45 13 8 53 47 9 59 10 11 58 21 61 12 25 68 22 63 16 18 19 54 24 72 27 69 20 15 73 28 33 42 41 77 40 78 36 79 35 51 74 30 38 29 31 32 39 43 60 55 81 80 48 56 49 50 52 57 62 64 65 66 67 70 71 76 75 
8 11 18 19 20 24 34 15 22 35 38 30 41 37 1 40 47 42 43 36 31 32 53 57 48 59 55 56 67 52 60 9 49 46 62 5 72 2 64 50 51 3 4 68 69 7 54 66 70 16 13 12 73 17 65 71 6 77 63 21 74 10 26 75 27 25 76 79 78 33 28 14 23 81 39 29 80 45 44 58 61 
9 16 21 27 1 33 26 22 5 39 40 2 3 45 32 12 7 31 55 8 13 20 61 49 4 17 25 6 10 11 41 36 28 59 64 15 69 50 29 30 18 60 65 14 44 63 34 19 56 52 42 38 74 46 48 24 70 23 47 51 58 75 54 67 66 43 35 37 68 71 57 78 81 77 76 62 53 79 72 73 80 
10 18 23 24 29 34 4 35 39 37 42 41 58 8 62 31 25 53 57 67 61 64 11 46 56 27 49 47 68 51 74 75 59 19 72 76 15 3 69 60 77 73 6 20 22 43 48 71 63 21 80 13 38 66 70 54 7 30 55 81 40 14 65 78 33 28 79 36 32 26 17 1 2 50 45 44 52 9 5 12 16 
11 19 24 15 30 35 37 38 40 42 43 48 56 53 2 55 68 57 1 52 49 50 46 62 36 69 32 67 51 66 70 16 64 72 3 12 73 4 60 65 71 6 8 77 74 14 79 5 75 27 28 25 7 44 9 76 10 54 78 33 63 18 45 21 22 20 13 80 81 39 29 23 34 26 31 41 17 61 58 47 59 
12 25 28 20 16 29 44 30 2 41 48 27 33 58 52 4 45 56 36 40 6 11 47 67 22 14 8 39 31 55 24 38 10 68 51 50 77 66 18 19 49 71 5 61 23 79 69 32 35 43 70 65 54 78 15 64 76 59 37 57 34 13 72 42 1 9 60 74 53 62 75 80 17 46 3 21 63 73 81 26 7 
13 28 17 29 21 44 5 41 3 58 56 33 26 12 51 6 9 47 67 31 7 18 25 68 39 1 10 45 61 49 34 42 14 20 77 60 30 71 23 24 59 54 76 16 2 36 22 64 37 57 63 70 48 32 35 69 79 27 8 46 4 80 15 53 62 75 74 40 11 72 78 52 66 19 73 81 55 38 50 65 43 
14 23 2 34 44 4 6 37 45 8 53 58 12 10 72 61 28 11 46 68 16 69 18 19 47 33 59 25 20 77 40 78 27 24 15 79 35 73 22 74 30 38 7 29 39 57 56 54 55 81 52 80 42 71 63 48 43 41 49 50 31 1 70 32 26 17 36 67 64 65 66 62 3 60 9 5 51 75 76 13 21 
15 38 42 43 36 57 46 1 32 62 2 52 51 72 8 50 54 3 4 5 60 9 73 6 66 63 65 71 76 12 21 22 70 7 10 20 14 11 75 16 13 18 19 79 78 34 17 25 33 40 41 30 23 47 27 28 24 80 26 31 81 35 59 39 55 48 29 44 45 49 56 37 53 61 64 67 58 69 68 77 74 
16 27 33 22 2 39 45 40 12 31 55 4 6 61 50 25 14 49 32 11 28 30 59 64 8 44 20 10 18 19 56 52 29 69 60 38 74 65 41 48 24 70 9 23 58 78 37 15 67 66 57 43 63 72 36 35 75 34 68 71 47 21 79 51 5 1 42 53 77 76 62 81 26 54 13 3 46 80 73 7 17 
17 44 5 58 26 12 13 47 7 25 68 45 9 28 54 14 21 20 77 59 1 34 29 30 61 3 23 16 27 69 8 46 2 41 48 63 56 79 4 37 22 36 80 33 6 51 31 74 11 72 32 78 67 60 53 40 52 39 18 15 10 66 42 19 73 81 55 49 24 38 50 71 76 35 43 65 64 57 70 75 62 
18 24 34 35 41 37 8 42 31 53 57 56 47 11 3 49 20 46 62 51 59 60 19 72 67 22 64 68 77 71 63 21 69 15 73 13 38 6 74 70 54 7 10 30 40 1 36 76 78 33 17 28 43 5 75 79 14 48 32 26 55 23 9 81 39 29 80 52 50 45 44 2 4 65 61 58 66 16 12 25 27 
19 15 35 38 48 42 53 43 55 57 1 36 67 46 4 32 77 62 2 66 64 65 72 3 52 74 50 51 71 5 75 27 60 73 6 25 7 8 70 9 76 10 11 54 63 23 80 12 21 22 29 20 14 58 16 13 18 79 81 39 78 24 61 33 40 30 28 17 26 31 41 34 37 45 49 56 44 59 47 68 69 
