id,str
3001,[105,237]
3002,[204]
3003,[205]
3004,[104,191,192]
3005,[203]
3006,[170]
3007,[106]
3008,[110,251]
3009,[110,205]
3010,[92,205]
3011,[238]
3012,[229]
3013,[109,238]
3014,[92,110,193]
3015,[92,251]
3016,[87,90,103,108,194,262,268]
3017,[92,266]
3018,[238]
3019,[67,81,83,96,164,264,268]
3020,[257]
3021,[101,203]
3022,[110,265]
3023,[101,265]
3024,[102,266]
3025,[110,266]
3026,[48,57,81,82,83,207,259]
3027,[56,82,83,107,232,264,269]
3028,[57,58,78,90,117,189,195]
3029,[66,152,231,235]
3030,[72,77,85,98,150,190,263]
3031,[45,78,82,87,96,165,196]
3032,[61,76,81,88,186,189,258]
3033,[73,107,196]
3034,[40,55,56,72,82,154,234]
3035,[62,63,67,98,161,263,271]
3036,[93,235]
3037,[53,64,70,189,257]
3038,[63,233,235]
3039,[54,230,231,236]
3040,[108,214,240]
3041,[64,239,243,253]
3042,[99,244,253]
3043,[61,63,74,99,151,161,272]
3044,[107,206]
3045,[96,206,212,230]
3046,[112,208,219]
3047,[96,208,214,239]
3048,[103,214,253]
3049,[113,217,221]
3050,[219,253]
3051,[53,96,103,114,270]
3052,[112,113,220,249]
3053,[131,180,206]
3054,[173,180,212]
3055,[206,230]
3056,[132,212,230]
3057,[219,239]
3058,[219,243]
3059,[136,213,238]
3060,[210,237]
3061,[112,204,255]
3062,[113,204,256]
3063,[104,223,245]
3064,[112,210,251]
3065,[113,216,251]
3066,[107,208]
3067,[130,142,172]
3068,[112,221,224]
3069,[104,225,254]
3070,[132,206,235]
3071,[140,212,235]
3072,[219,244]
3073,[133,206,236]
3074,[135,146,212]
3075,[219,246]
3076,[216,237]
3077,[130,206,231]
3078,[135,212,231]
3079,[219,240]
3080,[112,203,209]
3081,[143,175,230]
3082,[103,212,252]
3083,[113,214,219]
3084,[130,143,235]
3085,[175,176,233]
3086,[104,221]
3087,[113,203,215]
3088,[130,152,206]
3089,[152,171,212]
3090,[219,241]
3091,[104,222,247]
3092,[225,248]
3093,[220,250]
3094,[134,207,238]
3095,[96,97,107,200,207]
3096,[132,206,252]
3097,[138,212,252]
3098,[118,130,175]
3099,[130,206,233]
3100,[172,212,233]
3101,[219,242]
3102,[171,176,230]
3103,[104,226]
3104,[54,65,86,95,149,163,165]
3105,[84,98,100,183,200]
3106,[61,70,88,90,129,262,272]
3107,[130,206]
3108,[130,233]
3109,[130,231,233]
3110,[130,233]
3111,[130,152,233]
3112,[233]
3113,[130]
3114,[172,206,228]
3115,[172,228,231]
3116,[172,231,233]
3117,[126,199,206]
3118,[137,152,228]
3119,[120,200]
3120,[101,201]
3121,[101,247]
3122,[130,144,180]
3123,[156,231,235]
3124,[130,206]
3125,[71,84,107,197,270]
3126,[100,107,234]
3127,[62,180,233]
3128,[53,71,79,97,188,189,207]
3129,[108,212,231]
3130,[102,245]
3132,[200]
3133,[105,177]
3134,[70,103,267]
3135,[70,253]
3136,[71,206,235,252]
3137,[71,208,244,253]
3138,[55,240,241,243]
3139,[73,206,236]
3140,[73,208,246]
3141,[65,240,244,246]
3142,[53,239,253]
3143,[54,239,240,246]
3144,[66,240,241,244]
3145,[78,239,241,246]
3146,[79,239,244]
3147,[80,241,244,246]
7148,[68,239,240,242]
3149,[56,208,241,242]
3150,[83,206,231,233]
3151,[83,208,240,242]
3152,[84,208,244]
3153,[57,239,240,241]
3154,[62,242,243]
3155,[60,212,233,236]
3156,[60,214,242,246]
3157,[88,231,233,252]
3158,[88,240,242,253]
3159,[63,242,244]
3160,[61,242,246,253]
3161,[93,244]
3162,[94,243,246]
3163,[95,239,243,244]
3164,[105,248]
3165,[106]
3166,[109,250]
3167,[110,254]
3168,[111,200]
3169,[111,249]
3170,[134,200]
3171,[91,249]
3172,[138,140,235]
3173,[92,254]
3174,[97,208,239]
3175,[64,180,230,252]
3176,[100,208,243]
3177,[105,174]
3178,[105,170]
3179,[102,201]
3180,[130,230,231]
3181,[127,180,231]
3182,[130,144,173]
3183,[132,137,156]
3184,[127,144,230]
3185,[137,230,233]
3186,[130,132,156]
3187,[142,173,231]
3188,[130,235]
3189,[130,135,230]
3190,[175,230,231]
3191,[135,173,231]
3192,[130,152,230]
3193,[176,231,235]
3194,[127,231,235]
3195,[97,206,230]
3196,[140,173,212]
3197,[130,140,144]
3198,[131,132,230]
3199,[127,135,140]
3200,[130,228,235]
3201,[137,180]
3202,[130,140,145]
3203,[173,176,231]
3204,[126,152,235]
3205,[140,180,252]
3206,[127,137,140]
3207,[131,141,146]
3208,[171,230,231]
3209,[130,230,233]
3210,[143,172,230]
3211,[135,231,236]
3212,[141,142,212]
3213,[139,141,231]
3214,[137,141,231]
3215,[156,176,212]
3216,[141,175,231]
3217,[171,230,233]
3218,[126,233,235]
3219,[67,88,108,154,267]
3220,[156,231,236]
3221,[102,204]
3222,[130,140,146]
3223,[146,156,231]
3224,[141,228,233]
3225,[141,231,236]
3226,[141,228,233]
