[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
20 27 29 30 21 44 3 46 47 1 57 58 36 8 61 62 2 64 65 38 10 4 66 39 11 49 51 52 5 59 60 15 6 74 75 17 18 7 22 23 9 76 12 67 68 13 71 72 33 34 14 41 42 16 80 19 24 73 25 43 26 77 78 28 79 31 32 54 55 35 37 56 40 45 81 48 50 70 53 63 69 
21 36 38 39 3 49 20 51 52 5 59 60 8 27 67 68 13 71 72 10 29 24 73 11 30 15 17 18 7 22 23 44 26 77 78 46 47 1 57 58 28 79 31 33 34 14 41 42 61 62 2 64 65 45 81 48 25 43 4 66 32 54 55 37 56 40 6 74 75 63 9 76 12 50 70 53 16 80 19 69 35 
22 41 25 43 57 54 59 37 56 39 40 29 64 71 50 70 52 53 46 4 24 60 1 66 73 74 9 76 11 12 38 77 68 69 61 28 79 30 31 10 72 2 3 16 80 18 19 51 45 81 47 48 17 78 6 8 23 5 58 7 34 35 67 42 13 20 62 63 33 15 65 14 21 55 26 27 75 32 36 44 49 
23 42 43 20 58 55 60 56 27 40 29 30 65 72 70 44 53 46 47 66 73 1 57 21 3 75 76 36 12 38 39 78 69 61 62 79 8 31 10 11 2 64 4 80 49 19 51 52 81 15 48 17 18 6 74 9 5 59 7 22 35 67 68 13 71 24 63 33 34 16 14 41 25 26 77 28 32 54 37 45 50 
24 28 30 31 25 45 4 47 48 57 58 7 37 9 62 63 64 65 14 39 11 66 21 40 12 50 52 53 59 60 1 16 74 75 32 18 19 22 23 5 76 36 38 68 69 71 72 2 34 35 41 42 13 80 49 51 73 3 43 20 77 78 6 79 8 10 54 55 26 67 56 27 29 81 15 17 70 44 46 33 61 
25 37 39 40 4 50 24 52 53 59 60 1 9 28 68 69 71 72 2 11 30 73 3 12 31 16 18 19 22 23 5 45 77 78 6 47 48 57 58 7 79 8 10 34 35 41 42 13 62 63 64 65 14 81 15 17 43 20 66 21 54 55 26 56 27 29 74 75 32 33 76 36 38 70 44 46 80 49 51 61 67 
26 1 44 45 32 2 6 3 4 61 62 63 5 7 8 9 10 11 12 49 15 74 75 50 16 13 20 24 67 68 69 14 17 18 19 21 25 33 34 35 22 23 80 27 28 29 30 31 36 37 38 39 40 41 42 43 77 78 54 55 46 47 48 57 58 81 51 52 53 56 59 60 70 64 65 66 71 72 73 76 79 
27 44 46 47 36 3 8 61 62 2 64 65 49 15 10 11 6 74 75 51 17 9 76 52 18 20 67 68 13 71 72 21 7 22 23 33 34 14 41 42 16 80 19 29 30 26 77 78 38 39 32 54 55 25 43 35 28 79 37 56 1 57 58 45 81 48 5 59 60 40 50 70 53 4 66 63 24 73 69 12 31 
28 45 47 48 37 4 9 62 63 64 65 14 50 16 11 12 74 75 32 52 18 76 36 53 19 24 68 69 71 72 2 25 22 23 5 34 35 41 42 13 80 49 51 30 31 77 78 6 39 40 54 55 26 43 20 67 79 8 56 27 57 58 7 81 15 17 59 60 1 29 70 44 46 66 21 33 73 3 61 38 10 
29 46 1 57 38 61 10 2 64 3 4 66 51 17 6 74 8 9 76 5 7 11 12 59 22 67 13 71 20 24 73 33 15 16 80 14 41 21 25 43 18 19 23 26 77 27 28 79 32 54 36 37 56 34 35 42 30 31 39 40 44 45 81 47 48 58 49 50 70 55 52 53 60 62 63 65 68 69 72 75 78 
30 47 57 58 39 62 11 64 65 4 66 21 52 18 74 75 9 76 36 59 22 12 38 60 23 68 71 72 24 73 3 34 16 80 49 41 42 25 43 20 19 51 5 77 78 28 79 8 54 55 37 56 27 35 67 13 31 10 40 29 45 81 15 48 17 7 50 70 44 26 53 46 1 63 33 14 69 61 2 32 6 
31 48 58 7 40 63 12 65 14 66 21 25 53 19 75 32 76 36 37 60 23 38 39 1 5 69 72 2 73 3 4 35 80 49 50 42 13 43 20 24 51 52 59 78 6 79 8 9 55 26 56 27 28 67 68 71 10 11 29 30 81 15 16 17 18 22 70 44 45 77 46 47 57 33 34 41 61 62 64 54 74 
32 5 49 50 6 13 26 20 24 67 68 69 7 1 27 28 29 30 31 15 44 77 78 16 45 14 21 25 33 34 35 2 46 47 48 3 4 61 62 63 57 58 81 36 37 38 39 40 8 9 10 11 12 64 65 66 54 55 74 75 51 52 53 59 60 70 17 18 19 76 22 23 80 71 72 73 41 42 43 79 56 
33 38 32 54 61 51 67 5 59 49 50 70 10 29 13 71 20 24 73 6 26 68 69 74 77 17 7 22 15 16 80 46 27 28 79 1 57 44 45 81 30 31 78 14 41 21 25 43 2 64 3 4 66 47 48 58 34 35 62 63 36 37 56 39 40 55 8 9 76 65 11 12 75 52 53 60 18 19 23 72 42 
34 39 54 55 62 52 68 59 60 50 70 44 11 30 71 72 24 73 3 74 77 69 61 75 78 18 22 23 16 80 49 47 28 79 8 57 58 45 81 15 31 10 6 41 42 25 43 20 64 65 4 66 21 48 17 7 35 67 63 33 37 56 27 40 29 26 9 76 36 14 12 38 32 53 46 1 19 51 5 2 13 
35 40 55 26 63 53 69 60 1 70 44 45 12 31 72 2 73 3 4 75 78 61 62 32 6 19 23 5 80 49 50 48 79 8 9 58 7 81 15 16 10 11 74 42 13 43 20 24 65 14 66 21 25 17 18 22 67 68 33 34 56 27 28 29 30 77 76 36 37 41 38 39 54 46 47 57 51 52 59 64 71 
36 49 51 52 8 20 27 67 68 13 71 72 15 44 29 30 26 77 78 17 46 28 79 18 47 21 33 34 14 41 42 3 1 57 58 61 62 2 64 65 45 81 48 38 39 32 54 55 10 11 6 74 75 4 66 63 37 56 9 76 5 59 60 50 70 53 7 22 23 12 16 80 19 24 73 69 25 43 35 31 40 
37 50 52 53 9 24 28 68 69 71 72 2 16 45 30 31 77 78 6 18 47 79 8 19 48 25 34 35 41 42 13 4 57 58 7 62 63 64 65 14 81 15 17 39 40 54 55 26 11 12 74 75 32 66 21 33 56 27 76 36 59 60 1 70 44 46 22 23 5 38 80 49 51 73 3 61 43 20 67 10 29 
38 51 5 59 10 67 29 13 71 20 24 73 17 46 26 77 27 28 79 7 1 30 31 22 57 33 14 41 21 25 43 61 44 45 81 2 64 3 4 66 47 48 58 32 54 36 37 56 6 74 8 9 76 62 63 65 39 40 11 12 49 50 70 52 53 60 15 16 80 75 18 19 23 68 69 72 34 35 42 78 55 
39 52 59 60 11 68 30 71 72 24 73 3 18 47 77 78 28 79 8 22 57 31 10 23 58 34 41 42 25 43 20 62 45 81 15 64 65 4 66 21 48 17 7 54 55 37 56 27 74 75 9 76 36 63 33 14 40 29 12 38 50 70 44 53 46 1 16 80 49 32 19 51 5 69 61 2 35 67 13 6 26 
40 53 60 1 12 69 31 72 2 73 3 4 19 48 78 6 79 8 9 23 58 10 11 5 7 35 42 13 43 20 24 63 81 15 16 65 14 66 21 25 17 18 22 55 26 56 27 28 75 32 76 36 37 33 34 41 29 30 38 39 70 44 45 46 47 57 80 49 50 54 51 52 59 61 62 64 67 68 71 74 77 
41 54 37 56 64 59 71 50 70 52 53 46 74 77 24 73 68 69 61 9 28 72 2 76 79 22 16 80 18 19 51 57 30 31 10 45 81 47 48 17 78 6 8 25 43 34 35 67 4 66 62 63 33 58 7 15 42 13 65 14 39 40 29 55 26 27 11 12 38 21 75 32 36 60 1 44 23 5 49 3 20 
42 55 56 27 65 60 72 70 44 53 46 47 75 78 73 3 69 61 62 76 79 2 64 36 8 23 80 49 19 51 52 58 31 10 11 81 15 48 17 18 6 74 9 43 20 35 67 68 66 21 63 33 34 7 22 16 13 71 14 41 40 29 30 26 77 28 12 38 39 25 32 54 37 1 57 45 5 59 50 4 24 
43 56 40 29 66 70 73 53 46 60 1 57 76 79 69 61 72 2 64 12 31 3 4 38 10 80 19 51 23 5 59 81 78 6 74 48 17 58 7 22 8 9 11 35 67 42 13 71 63 33 65 14 41 15 16 18 20 24 21 25 55 26 77 27 28 30 75 32 54 34 36 37 39 44 45 47 49 50 52 62 68 
44 3 61 62 49 8 15 10 11 6 74 75 20 21 17 18 7 22 23 67 33 16 80 68 34 27 29 30 26 77 78 36 14 41 42 38 39 32 54 55 25 43 35 46 47 1 57 58 51 52 5 59 60 37 56 40 45 81 50 70 2 64 65 4 66 63 13 71 72 53 24 73 69 9 76 12 28 79 31 19 48 
45 4 62 63 50 9 16 11 12 74 75 32 24 25 18 19 22 23 5 68 34 80 49 69 35 28 30 31 77 78 6 37 41 42 13 39 40 54 55 26 43 20 67 47 48 57 58 7 52 53 59 60 1 56 27 29 81 15 70 44 64 65 14 66 21 33 71 72 2 46 73 3 61 76 36 38 79 8 10 51 17 
46 61 2 64 51 10 17 6 74 8 9 76 67 33 7 22 15 16 80 13 14 18 19 71 41 29 26 77 27 28 79 38 21 25 43 32 54 36 37 56 34 35 42 1 57 44 45 81 5 59 49 50 70 39 40 55 47 48 52 53 3 4 66 62 63 65 20 24 73 60 68 69 72 11 12 75 30 31 78 23 58 
47 62 64 65 52 11 18 74 75 9 76 36 68 34 22 23 16 80 49 71 41 19 51 72 42 30 77 78 28 79 8 39 25 43 20 54 55 37 56 27 35 67 13 57 58 45 81 15 59 60 50 70 44 40 29 26 48 17 53 46 4 66 21 63 33 14 24 73 3 1 69 61 2 12 38 32 31 10 6 5 7 
48 63 65 14 53 12 19 75 32 76 36 37 69 35 23 5 80 49 50 72 42 51 52 2 13 31 78 6 79 8 9 40 43 20 24 55 26 56 27 28 67 68 71 58 7 81 15 16 60 1 70 44 45 29 30 77 17 18 46 47 66 21 25 33 34 41 73 3 4 57 61 62 64 38 39 54 10 11 74 59 22 
49 20 67 68 15 27 44 29 30 26 77 78 21 3 46 47 1 57 58 33 61 45 81 34 62 36 38 39 32 54 55 8 2 64 65 10 11 6 74 75 4 66 63 51 52 5 59 60 17 18 7 22 23 9 76 12 50 70 16 80 13 71 72 24 73 69 14 41 42 19 25 43 35 28 79 31 37 56 40 48 53 
50 24 68 69 16 28 45 30 31 77 78 6 25 4 47 48 57 58 7 34 62 81 15 35 63 37 39 40 54 55 26 9 64 65 14 11 12 74 75 32 66 21 33 52 53 59 60 1 18 19 22 23 5 76 36 38 70 44 80 49 71 72 2 73 3 61 41 42 13 51 43 20 67 79 8 10 56 27 29 17 46 
51 67 13 71 17 29 46 26 77 27 28 79 33 61 1 57 44 45 81 14 2 47 48 41 64 38 32 54 36 37 56 10 3 4 66 6 74 8 9 76 62 63 65 5 59 49 50 70 7 22 15 16 80 11 12 75 52 53 18 19 20 24 73 68 69 72 21 25 43 23 34 35 42 30 31 78 39 40 55 58 60 
52 68 71 72 18 30 47 77 78 28 79 8 34 62 57 58 45 81 15 41 64 48 17 42 65 39 54 55 37 56 27 11 4 66 21 74 75 9 76 36 63 33 14 59 60 50 70 44 22 23 16 80 49 12 38 32 53 46 19 51 24 73 3 69 61 2 25 43 20 5 35 67 13 31 10 6 40 29 26 7 1 
53 69 72 2 19 31 48 78 6 79 8 9 35 63 58 7 81 15 16 42 65 17 18 13 14 40 55 26 56 27 28 12 66 21 25 75 32 76 36 37 33 34 41 60 1 70 44 45 23 5 80 49 50 38 39 54 46 47 51 52 73 3 4 61 62 64 43 20 24 59 67 68 71 10 11 74 29 30 77 22 57 
54 59 50 70 74 71 77 24 73 68 69 61 22 57 28 79 30 31 10 16 45 78 6 80 81 41 25 43 34 35 67 64 47 48 17 4 66 62 63 33 58 7 15 37 56 39 40 29 9 76 11 12 38 65 14 21 55 26 75 32 52 53 46 60 1 44 18 19 51 36 23 5 49 72 2 3 42 13 20 8 27 
55 60 70 44 75 72 78 73 3 69 61 62 23 58 79 8 31 10 11 80 81 6 74 49 15 42 43 20 35 67 68 65 48 17 18 66 21 63 33 34 7 22 16 56 27 40 29 30 76 36 12 38 39 14 41 25 26 77 32 54 53 46 47 1 57 45 19 51 52 37 5 59 50 2 64 4 13 71 24 9 28 
56 70 53 46 76 73 79 69 61 72 2 64 80 81 31 10 78 6 74 19 48 8 9 51 17 43 35 67 42 13 71 66 58 7 22 63 33 65 14 41 15 16 18 40 29 55 26 77 12 38 75 32 54 21 25 34 27 28 36 37 60 1 57 44 45 47 23 5 59 39 49 50 52 3 4 62 20 24 68 11 30 
