[R16Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
2 4 6 7 9 8 1 11 12 13 3 14 15 5 16 10 
3 6 1 8 10 2 11 4 13 5 7 15 9 16 12 14 
4 7 8 1 12 11 2 3 14 15 6 5 16 9 10 13 
5 9 10 12 1 13 14 15 2 3 16 4 6 7 8 11 
6 8 2 11 13 4 3 7 15 9 1 16 12 10 14 5 
7 1 11 2 14 3 4 6 5 16 8 9 10 12 13 15 
8 11 4 3 15 7 6 1 16 12 2 10 14 13 5 9 
9 12 13 14 2 15 5 16 4 6 10 7 8 1 11 3 
10 13 5 15 3 9 16 12 6 1 14 8 2 11 4 7 
11 3 7 6 16 1 8 2 10 14 4 13 5 15 9 12 
12 14 15 5 4 16 9 10 7 8 13 1 11 2 3 6 
13 15 9 16 6 12 10 14 8 2 5 11 4 3 7 1 
14 5 16 9 7 10 12 13 1 11 15 2 3 4 6 8 
15 16 12 10 8 14 13 5 11 4 9 3 7 6 1 2 
16 10 14 13 11 5 15 9 3 7 12 6 1 8 2 4 
[R16Mul]
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 3 5 1 4 10 3 5 8 12 10 4 15 8 12 15 
1 5 4 1 1 12 5 4 5 4 12 1 12 5 4 12 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 4 1 1 1 4 4 1 4 1 4 1 4 4 1 4 
1 10 12 1 4 8 10 12 15 5 8 4 3 15 5 3 
1 3 5 1 4 10 3 5 8 12 10 4 15 8 12 15 
1 5 4 1 1 12 5 4 5 4 12 1 12 5 4 12 
1 8 5 1 4 15 8 5 3 12 15 4 10 3 12 10 
1 12 4 1 1 5 12 4 12 4 5 1 5 12 4 5 
1 10 12 1 4 8 10 12 15 5 8 4 3 15 5 3 
1 4 1 1 1 4 4 1 4 1 4 1 4 4 1 4 
1 15 12 1 4 3 15 12 10 5 3 4 8 10 5 8 
1 8 5 1 4 15 8 5 3 12 15 4 10 3 12 10 
1 12 4 1 1 5 12 4 12 4 5 1 5 12 4 5 
1 15 12 1 4 3 15 12 10 5 3 4 8 10 5 8 
