[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
2 5 7 8 6 13 14 15 16 17 18 19 26 20 24 27 28 29 30 31 36 37 38 32 39 9 1 33 34 35 44 45 46 47 48 49 50 51 52 53 54 55 56 21 25 61 62 63 3 57 58 4 64 65 66 67 68 69 71 72 40 41 42 10 11 12 70 74 75 76 77 78 79 59 60 80 22 23 81 73 43 
3 7 10 11 14 20 17 18 21 9 22 23 31 28 29 36 16 37 38 33 40 25 43 34 41 44 49 27 50 51 46 47 1 57 58 53 39 56 54 6 59 60 42 61 62 2 68 69 64 52 67 65 13 71 72 55 4 70 24 73 5 74 75 26 77 78 66 8 76 12 32 79 35 15 80 19 45 81 48 30 63 
4 8 11 12 15 24 18 19 25 22 23 9 32 29 30 39 37 38 16 34 41 43 21 35 42 45 52 50 51 27 47 48 57 58 1 54 56 36 55 59 60 6 40 62 63 68 69 2 65 67 49 66 71 72 13 53 70 3 73 20 74 75 5 77 78 26 64 76 7 10 79 31 33 80 14 17 81 44 46 28 61 
5 6 14 15 13 26 20 24 27 28 29 30 9 31 32 1 33 34 35 44 49 50 51 45 52 16 2 46 47 48 21 25 61 62 63 3 57 58 4 64 65 66 67 36 39 40 41 42 7 68 69 8 10 11 12 70 74 75 77 78 53 54 55 17 18 19 76 59 60 80 22 23 81 71 72 73 37 38 43 79 56 
6 13 20 24 26 9 31 32 1 33 34 35 16 44 45 2 46 47 48 21 3 57 58 25 4 27 5 61 62 63 36 39 40 41 42 7 68 69 8 10 11 12 70 49 52 53 54 55 14 74 75 15 17 18 19 76 59 60 22 23 64 65 66 28 29 30 80 71 72 73 37 38 43 77 78 79 50 51 56 81 67 
7 14 17 18 20 31 28 29 36 16 37 38 44 33 34 49 27 50 51 46 53 39 56 47 54 21 3 1 57 58 61 62 2 68 69 64 52 67 65 13 71 72 55 40 41 5 74 75 10 4 70 11 26 77 78 66 8 76 32 79 6 59 60 9 22 23 12 15 80 19 45 81 48 24 73 30 25 43 63 35 42 
8 15 18 19 24 32 29 30 39 37 38 16 45 34 35 52 50 51 27 47 54 56 36 48 55 25 4 57 58 1 62 63 68 69 2 65 67 49 66 71 72 13 53 41 42 74 75 5 11 70 3 12 77 78 26 64 76 7 79 31 59 60 6 22 23 9 10 80 14 17 81 44 46 73 20 28 43 21 61 33 40 
9 16 21 25 27 1 36 39 6 40 41 42 2 49 52 13 53 54 55 3 20 59 60 4 24 5 26 64 65 66 7 8 10 11 12 31 71 72 32 33 34 35 73 14 15 17 18 19 44 77 78 45 46 47 48 79 22 23 57 58 28 29 30 61 62 63 81 37 38 43 68 69 70 50 51 56 74 75 76 67 80 
10 17 9 22 28 33 16 37 40 21 25 43 46 27 50 53 36 39 56 1 6 41 42 57 59 61 64 49 52 67 2 68 3 4 70 13 54 55 71 20 24 73 60 5 74 7 8 76 26 65 66 77 31 32 79 72 11 12 34 35 14 15 80 44 45 81 78 18 19 23 47 48 58 29 30 38 62 63 69 51 75 
11 18 22 23 29 34 37 38 41 25 43 21 47 50 51 54 39 56 36 57 59 42 40 58 60 62 65 52 67 49 68 69 4 70 3 71 55 53 72 24 73 20 6 74 75 8 76 7 77 66 64 78 32 79 31 13 12 10 35 33 15 80 14 45 81 44 26 19 17 9 48 46 1 30 28 16 63 61 2 27 5 
12 19 23 9 30 35 38 16 42 43 21 25 48 51 27 55 56 36 39 58 60 40 41 1 6 63 66 67 49 52 69 2 70 3 4 72 53 54 13 73 20 24 59 75 5 76 7 8 78 64 65 26 79 31 32 71 10 11 33 34 80 14 15 81 44 45 77 17 18 22 46 47 57 28 29 37 61 62 68 50 74 
13 26 31 32 9 16 44 45 2 46 47 48 27 21 25 5 61 62 63 36 7 68 69 39 8 1 6 40 41 42 49 52 53 54 55 14 74 75 15 17 18 19 76 3 4 64 65 66 20 59 60 24 28 29 30 80 71 72 37 38 10 11 12 33 34 35 73 77 78 79 50 51 56 22 23 81 57 58 67 43 70 
14 20 28 29 31 44 33 34 49 27 50 51 21 46 47 3 1 57 58 61 64 52 67 62 65 36 7 2 68 69 40 41 5 74 75 10 4 70 11 26 77 78 66 53 54 6 59 60 17 8 76 18 9 22 23 12 15 80 45 81 13 71 72 16 37 38 19 24 73 30 25 43 63 32 79 35 39 56 42 48 55 
15 24 29 30 32 45 34 35 52 50 51 27 25 47 48 4 57 58 1 62 65 67 49 63 66 39 8 68 69 2 41 42 74 75 5 11 70 3 12 77 78 26 64 54 55 59 60 6 18 76 7 19 22 23 9 10 80 14 81 44 71 72 13 37 38 16 17 73 20 28 43 21 61 79 31 33 56 36 40 46 53 
16 27 36 39 1 2 49 52 13 53 54 55 5 3 4 26 64 65 66 7 31 71 72 8 32 6 9 10 11 12 14 15 17 18 19 44 77 78 45 46 47 48 79 20 24 28 29 30 21 22 23 25 61 62 63 81 37 38 68 69 33 34 35 40 41 42 43 50 51 56 74 75 76 57 58 67 59 60 80 70 73 
17 28 16 37 33 46 27 50 53 36 39 56 61 1 57 64 49 52 67 2 13 54 55 68 71 40 10 3 4 70 5 74 7 8 76 26 65 66 77 31 32 79 72 6 59 14 15 80 9 11 12 22 44 45 81 78 18 19 47 48 20 24 73 21 25 43 23 29 30 38 62 63 69 34 35 51 41 42 75 58 60 
18 29 37 38 34 47 50 51 54 39 56 36 62 57 58 65 52 67 49 68 71 55 53 69 72 41 11 4 70 3 74 75 8 76 7 77 66 64 78 32 79 31 13 59 60 15 80 14 22 12 10 23 45 81 44 26 19 17 48 46 24 73 20 25 43 21 9 30 28 16 63 61 2 35 33 27 42 40 5 1 6 
19 30 38 16 35 48 51 27 55 56 36 39 63 58 1 66 67 49 52 69 72 53 54 2 13 42 12 70 3 4 75 5 76 7 8 78 64 65 26 79 31 32 71 60 6 80 14 15 23 10 11 9 81 44 45 77 17 18 46 47 73 20 24 43 21 25 22 28 29 37 61 62 68 33 34 50 40 41 74 57 59 
20 31 33 34 44 21 46 47 3 1 57 58 36 61 62 7 2 68 69 40 10 4 70 41 11 49 14 5 74 75 53 54 6 59 60 17 8 76 18 9 22 23 12 64 65 13 71 72 28 15 80 29 16 37 38 19 24 73 25 43 26 77 78 27 50 51 30 32 79 35 39 56 42 45 81 48 52 67 55 63 66 
21 36 40 41 49 3 53 54 20 6 59 60 7 64 65 31 13 71 72 10 33 24 73 11 34 14 44 26 77 78 17 18 9 22 23 46 32 79 47 1 57 58 35 28 29 16 37 38 61 45 81 62 2 68 69 48 25 43 4 70 27 50 51 5 74 75 63 39 56 42 8 76 12 52 67 55 15 80 19 66 30 
22 37 25 43 50 57 39 56 59 41 42 40 68 52 67 71 54 55 53 4 24 60 6 70 73 74 77 65 66 64 8 76 11 12 10 32 72 13 79 34 35 33 20 15 80 18 19 17 45 78 26 81 47 48 46 31 23 9 58 1 29 30 28 62 63 61 44 38 16 21 69 2 3 51 27 36 75 5 7 49 14 
23 38 43 21 51 58 56 36 60 42 40 41 69 67 49 72 55 53 54 70 73 6 59 3 20 75 78 66 64 65 76 7 12 10 11 79 13 71 31 35 33 34 24 80 14 19 17 18 81 26 77 44 48 46 47 32 9 22 1 57 30 28 29 63 61 62 45 16 37 25 2 68 4 27 50 39 5 74 8 52 15 
24 32 34 35 45 25 47 48 4 57 58 1 39 62 63 8 68 69 2 41 11 70 3 42 12 52 15 74 75 5 54 55 59 60 6 18 76 7 19 22 23 9 10 65 66 71 72 13 29 80 14 30 37 38 16 17 73 20 43 21 77 78 26 50 51 27 28 79 31 33 56 36 40 81 44 46 67 49 53 61 64 
25 39 41 42 52 4 54 55 24 59 60 6 8 65 66 32 71 72 13 11 34 73 20 12 35 15 45 77 78 26 18 19 22 23 9 47 79 31 48 57 58 1 33 29 30 37 38 16 62 81 44 63 68 69 2 46 43 21 70 3 50 51 27 74 75 5 61 56 36 40 76 7 10 67 49 53 80 14 17 64 28 
