id,str
2,[[0,0,2],[0,54,6],[1,71,18],[1,77,54]]
3,[[0,54,2],[0,72,6],[1,77,18],[1,79,54]]
7,[[0,54,8],[1,71,18],[1,79,54]]
8,[[0,0,26],[1,53,54]]
9,[[0,0,8],[0,54,18],[1,71,54]]
10,[[0,0,2],[0,54,6],[1,71,18],[1,79,54]]
11,[[0,0,8],[0,54,18],[1,71,54]]
12,[[0,0,2],[0,54,6],[1,71,18],[1,77,54]]
14,[[0,0,8],[0,54,18],[1,71,54]]
18,[[0,54,2],[1,53,2],[1,71,10],[1,77,30],[1,79,36]]
24,[[0,0,8],[0,54,18],[1,71,54]]
25,[[0,0,26],[0,54,18],[1,53,36]]
26,[[0,0,26],[0,54,18],[1,53,36]]
27,[[0,0,8],[0,54,18],[1,71,54]]
28,[[0,0,8],[0,54,36],[1,53,36]]
29,[[0,54,8],[1,71,18],[1,77,54]]
30,[[0,0,8],[0,54,18],[1,71,54]]
68,[[0,0,26],[1,71,54]]
69,[[0,0,8],[0,54,36],[1,53,36]]
70,[[0,0,8],[1,53,72]]
71,[[0,0,8],[1,53,36],[1,71,36]]
72,[[0,0,8],[1,53,36],[1,71,36]]
73,[[0,0,8],[0,54,72]]
74,[[0,0,8],[1,53,72]]
75,[[0,0,8],[1,53,36],[1,71,36]]
78,[[0,0,8],[0,54,18],[1,53,54]]
79,[[0,0,8],[0,54,18],[1,53,54]]
80,[[0,0,8],[0,54,18],[1,53,54]]
81,[[0,0,8],[1,71,72]]
82,[[0,0,8],[1,71,72]]
83,[[0,0,8],[1,71,72]]
84,[[0,0,8],[0,54,18],[1,71,54]]
85,[[0,0,8],[0,54,18],[1,71,54]]
86,[[0,0,8],[0,54,18],[1,53,18],[1,71,36]]
87,[[0,0,8],[0,54,18],[1,53,18],[1,71,36]]
88,[[0,0,8],[0,54,18],[1,71,54]]
89,[[0,0,8],[0,54,18],[1,53,18],[1,71,36]]
90,[[0,0,8],[1,53,18],[1,71,54]]
87,[[0,0,8],[0,54,18],[1,53,18],[1,71,36]]
92,[[0,0,8],[0,54,18],[1,71,54]]
