[R27Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
2 5 6 8 4 10 11 13 17 12 16 14 9 18 19 15 21 20 24 22 1 25 26 23 3 27 7 
3 6 7 12 10 11 1 14 20 16 2 15 18 19 4 5 22 24 8 23 25 26 9 13 27 17 21 
4 8 12 9 13 14 15 17 1 18 19 20 21 22 23 24 2 25 26 3 5 6 7 27 10 11 16 
5 4 10 13 8 12 16 9 21 14 15 18 17 20 24 19 1 22 23 25 2 3 27 26 6 7 11 
6 10 11 14 12 16 2 18 22 15 5 19 20 24 8 4 25 23 13 26 3 27 17 9 7 21 1 
7 11 1 15 16 2 3 19 23 5 6 4 24 8 12 10 26 13 14 9 27 17 20 18 21 22 25 
8 13 14 17 9 18 19 21 2 20 24 22 1 25 26 23 5 3 27 6 4 10 11 7 12 16 15 
9 17 20 1 21 22 23 2 4 25 26 3 5 6 7 27 8 10 11 12 13 14 15 16 18 19 24 
10 12 16 18 14 15 5 20 25 19 4 24 22 23 13 8 3 26 9 27 6 7 21 17 11 1 2 
11 16 2 19 15 5 6 24 26 4 10 8 23 13 14 12 27 9 18 17 7 21 22 20 1 25 3 
12 14 15 20 18 19 4 22 3 24 8 23 25 26 9 13 6 27 17 7 10 11 1 21 16 2 5 
13 9 18 21 17 20 24 1 5 22 23 25 2 3 27 26 4 6 7 10 8 12 16 11 14 15 19 
14 18 19 22 20 24 8 25 6 23 13 26 3 27 17 9 10 7 21 11 12 16 2 1 15 5 4 
15 19 4 23 24 8 12 26 7 13 14 9 27 17 20 18 11 21 22 1 16 2 3 25 5 6 10 
16 15 5 24 19 4 10 23 27 8 12 13 26 9 18 14 7 17 20 21 11 1 25 22 2 3 6 
17 21 22 2 1 25 26 5 8 3 27 6 4 10 11 7 13 12 16 14 9 18 19 15 20 24 23 
18 20 24 25 22 23 13 3 10 26 9 27 6 7 21 17 12 11 1 16 14 15 5 2 19 4 8 
