id,str
1,1,[243,1],[243,1],[1]
2,1,[243,1],[R81_2,R3_2],[3]
3,1,[243,1],[243,1],[2]
4,1,[243,1],[243,1],[4]
5,1,[243,1],[243,1],[1]
6,1,[243,1],[243,1],[1]
8,1,[R27_1,R9_4],[243,1],[4,5]
9,1,[R27_1,R9_4],[243,1],[4,5]
10,1,[R27_1,R9_4],[243,1],[4,5]
11,1,[R27_1,R9_4],[243,1],[1,5]
12,1,[R27_1,R9_4],[243,1],[1,5]
14,1,[243,1],[243,1],[1,5]
15,1,[R27_4,R9_4],[243,1],[2,16]
16,1,[R27_4,R9_4],[243,1],[2,16]
17,1,[243,1],[243,1],[1,4,23]
18,1,[243,1],[243,1],[2,23]
19,1,[243,1],[243,1],[1,4,23]
20,1,[R27_2,R9_8],[R81_10,R3_2],[3,15]
21,1,[R27_2,R9_7],[R81_10,R3_2],[3,20]
22,1,[R27_1,R9_4],[243,1],[1,5]
23,1,[243,1],[243,1],[1,4,23]
24,1,[243,1],[R81_10,R3_2],[3,13]
25,1,[243,1],[243,1],[2,23]
26,1,[243,1],[243,1],[1,5]
27,1,[243,1],[R81_1,R3_2],[1,7]
28,1,[243,1],[R81_2,R3_2],[2,17]
29,1,[243,1],[243,1],[2,16]
30,1,[243,1],[R27_2,R9_10],[3,14]
31,1,[243,1],[R81_4,R3_2],[4,7]
32,1,[243,1],[243,1],[4,5]
33,1,[243,1],[243,1],[1,5]
34,1,[243,1],[R81_5,R3_2],[1,7]
1400,1,[243,1],[R81_96,R3_2],[3,7,13]
1401,1,[243,1],[R81_98,R3_2],[3,13,17]
1402,1,[R3_1,R81_67],[243,1],[10,16]
1404,1,[R27_5,R9_4],[243,1],[2,10,16]
1405,1,[R27_5,R9_4],[243,1],[5]
1406,1,[R3_1,R81_101],[R81_108,R3_2],[3,20]
1407,1,[R3_1,R81_102],[R81_67,R3_2],[3,15]
1408,1,[R3_1,R81_108],[243,1],[8,16]
1409,1,[243,1],[243,1],[24]
1410,1,[243,1],[R81_53,R3_2],[3,21]
1412,1,[243,1],[243,1],[11,12,16]
1413,1,[243,1],[243,1],[1,5]
1414,1,[243,1],[R81_12,R3_2],[1,7,13]
1415,1,[243,1],[243,1],[1,5,6,16]
1416,1,[243,1],[243,1],[2,11,16,54]
1417,1,[243,1],[R81_10,R3_2],[2,13,17]
1418,1,[243,1],[243,1],[2,5,6,16]
1420,1,[243,1],[R81_98,R3_2],[3,21]
1421,1,[R3_1,R81_67],[243,1],[10,16]
1423,1,[243,1],[243,1],[11,16,54]
1425,1,[243,1],[243,1],[4,5]
1426,1,[243,1],[243,1],[4,5,6,16]
1428,1,[243,1],[243,1],[23]
1433,1,[243,1],[243,1],[1,2,4,23]
1434,1,[243,1],[243,1],[5,6,16]
1435,1,[243,1],[243,1],[11,16,54]
1447,1,[243,1],[243,1],[5]
1450,1,[243,1],[243,1],[1,4,5,6]
1451,1,[R27_5,R9_4],[243,1],[11,12,16]
1452,1,[R27_5,R9_4],[243,1],[11,12,54]
2500,1,[R9_3,R27_36],[R81_212,R3_2],[3,15,20,36]
2501,1,[243,1],[R81_212,R3_2],[3,21,45]
2502,1,[R27_5,R9_4],[243,1],[5,16,23,56]
2503,1,[R27_16,R9_7],[R81_212,R3_2],[3,13,20,26]
2504,1,[243,1],[R81_212,R3_2],[3,13,27]
2505,1,[243,1],[R27_16,R9_10],[3,13,14,38]
2508,1,[R27_3,R9_8],[R27_16,R9_10],[3,14,47]
2509,1,[243,1],[R9_3,R27_50],[3,14,50]
2510,1,[243,1],[R27_16,R9_10],[3,14,46]
2511,1,[243,1],[R9_3,R27_51],[3,51]
2512,1,[R27_16,R9_8],[R81_212,R3_2],[3,13,15,28]
2513,1,[243,1],[243,1],[2,5,16,23,56]
2514,1,[243,1],[R27_1,R9_10],[1,7,38]
2515,1,[243,1],[R27_2,R9_10],[2,17,38]
2516,1,[243,1],[R27_4,R9_10],[4,7,38]
2517,1,[243,1],[R81_12,R3_2],[1,7,35]
2518,1,[243,1],[R81_10,R3_2],[2,17,35]
2519,1,[243,1],[R81_9,R3_2],[4,7,35]
2520,1,[R27_1,R9_7],[R81_12,R3_2],[1,7,26]
2521,1,[R27_2,R9_7],[R81_10,R3_2],[2,17,26]
2522,1,[R27_4,R9_7],[R81_9,R3_2],[4,7,26]
2523,1,[R27_1,R9_8],[R81_12,R3_2],[1,7,28]
2524,1,[R27_2,R9_8],[R81_10,R3_2],[2,17,28]
2525,1,[R27_4,R9_8],[R81_9,R3_2],[4,7,28]
2526,1,[243,1],[R81_12,R3_2],[1,5,7,27]
2527,1,[243,1],[R81_10,R3_2],[2,16,17,27]
2528,1,[243,1],[R81_9,R3_2],[4,5,7,27]
