id,str
1,[1]
2,[2]
3,[3]
4,[4]
5,[1]
6,[3,14]
7,[3,21]
8,[2,23]
9,[4,5]
10,[2,16]
11,[3,13]
12,[1,5]
13,[23]
14,[5]
15,[5]
16,[1,7]
17,[23]
18,[5]
19,[16]
20,[3,20]
21,[5]
22,[1,4,23]
23,[3,15]
24,[16]
25,[16]
26,[5]
27,[2,17]
28,[16]
29,[5]
30,[4,7]
31,[21]
32,[16]
33,[21]
34,[8,16,53,55]
35,[8,10,54,55]
36,[10,16,53,55]
37,[8,9,11,18]
38,[10,12,18]
39,[9,10,11,18]
40,[9,10,12,19]
41,[9,10,12,18]
42,[12,16]
43,[9,11,53]
44,[9,12,19]
45,[6,12,16,54]
46,[9,10,12,53]
47,[9,10,11,53]
48,[9,11,19]
49,[8,10,11,53]
50,[8,9,12,19]
51,[8,11,55]
52,[8,16,19,55]
53,[11,12,16]
54,[9,16]
55,[8,19,53,54]
56,[5,9,10]
57,[9,10,16]
58,[9,16]
59,[8,9,11,53]
60,[5,53]
61,[6,8,9,10]
62,[10,12,53]
63,[10,19,53,54]
64,[6,8,9,10]
65,[10,16,19,55]
66,[11,54]
67,[10,16]
68,[6,8,10]
69,[8,9,16]
70,[6,11,54]
71,[5,54]
72,[8,12,18]
73,[5,19,53]
74,[8,53,54]
75,[6,11,16,54]
76,[6,10,53,55]
77,[8,9,12,53]
78,[6,9,53,55]
79,[6,12,54]
80,[6,8,9]
81,[11,19,53,55]
82,[5,8,9]
83,[5,8,9,10]
84,[5,11,12]
85,[16,18,53]
86,[8,11,53]
87,[8,9,12,18]
88,[8,54,55]
89,[8,12,53]
90,[10,11,55]
91,[23]
92,[8,10,11,19]
93,[12,54]
94,[11,53,55]
95,[6,11,12]
96,[5,6,16]
97,[5,6]
98,[11,16,54]
99,[11,12,54]
100,[6,11]
101,[20]
102,[15]
103,[11,19,55]
104,[14]
105,[32]
106,[]
107,[5]
108,[8,16]
109,[24]
110,[21]
111,[23]
112,[7,13]
113,[13,17]
114,[8,19,54]
115,[6,11,12]
116,[6,9,10]
117,[5,55]
118,[6,18,53]
119,[9,12,55]
120,[6,8,10]
121,[5,11,12]
122,[11,16]
123,[5,18]
124,[10,53,54]
125,[6,8,19,55]
126,[9,16,53,55]
127,[10,12,55]
128,[6,9,19,55]
129,[9,11,18]
130,[9,11,55]
131,[9,19,53,54]
132,[10,11,53]
133,[10,54,55]
134,[9,54,55]
135,[8,9,54,55]
136,[9,10,54,55]
137,[6,18,19,53]
138,[6,8,53,55]
139,[6,10,19,55]
140,[12,19,53,55]
141,[18,54,55]
142,[8,12,55]
143,[9,53,54]
144,[12,53,55]
145,[10,19,54]
146,[25]
147,[25]
148,[12,16,54,56]
149,[22,45]
150,[8,12,34,55]
151,[9,11,34,55]
152,[9,10,29,55]
153,[8,9,29,55]
154,[6,9,39,55]
155,[9,12,58]
156,[5,11,31]
157,[8,10,11,58]
158,[5,19,39]
159,[16,19,58]
160,[12,27]
161,[25,54]
162,[6,12,31]
163,[6,11,29]
164,[5,34,55]
165,[10,12,48,53]
166,[14,21,46]
167,[5,39,53]
168,[6,19,48,55]
169,[6,27]
170,[6,9,10,48]
171,[11,48,55]
172,[8,10,11,39]
173,[11,39,53,55]
174,[9,12,48,53]
175,[9,12,48,53]
176,[9,12,18,48]
177,[9,11,39]
178,[6,18,39,53]
179,[6,11,12,31]
180,[11,25]
181,[19,27]
182,[10,48,54,55]
183,[6,10,39,55]
184,[25]
185,[25]
186,[25]
187,[25]
188,[25]
189,[25]
190,[25]
191,[25]
192,[25]
193,[5,12,31]
194,[5,29,54]
195,[6,12,54,56]
196,[6,16,31,54]
197,[25]
198,[20,30]
199,[25]
200,[5,16,23,56]
201,[15,20,36]
202,[56]
203,[13,20,26]
204,[13,15,28]
205,[21,45]
206,[5,25]
207,[22,37]
208,[9,27]
209,[16,18,19,39]
210,[7,38]
211,[42]
212,[16,25]
213,[8,9,56]
214,[16,17,27]
215,[12,48,55]
216,[14,46]
217,[17,38]
218,[42]
219,[13,27]
220,[13,33]
221,[13,14,38]
222,[14,41]
223,[14,47]
224,[6,8,9,48]
225,[17,26]
226,[7,26]
227,[51]
228,[5,7,27]
229,[7,28]
230,[7,35]
231,[8,25]
232,[5,6,56]
233,[10,25]
234,[8,12,48,53]
235,[17,28]
236,[17,35]
237,[8,48,54,55]
238,[24,56]
239,[9,48,54,55]
240,[8,27]
241,[16,48,53,55]
242,[10,27]
243,[11,27]
244,[14,50]
245,[14,15,47]
246,[9,25]
247,[14,20,41]
248,[6,25]
249,[7,17,23,33]
250,[24,33]
251,[13,21,35]
252,[19,25]
253,[5,18,58]
254,[12,25]
255,[22,35]
256,[14,49]
257,[11,56]
258,[10,56]
259,[8,56]
260,[23,24,57]
261,[10,11,18,48]
262,[10,11,19,48]
263,[10,16,48]
264,[5,10,48]
