[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
2 6 7 9 13 5 14 15 16 17 18 19 26 20 32 24 33 34 35 27 36 37 38 28 39 8 44 45 46 47 48 1 29 30 31 49 50 51 52 53 54 55 56 21 25 61 62 63 3 57 58 4 67 68 69 70 64 65 71 72 40 41 42 74 75 76 10 11 12 66 77 78 79 59 60 80 22 23 81 73 43 
3 7 10 11 20 14 17 21 18 1 22 23 27 33 36 34 2 37 38 29 40 4 43 30 41 44 46 47 5 57 58 49 6 50 51 53 9 56 54 8 59 60 12 61 62 13 64 65 67 16 70 68 15 71 72 19 24 66 25 73 26 74 75 28 76 31 32 77 78 35 39 79 42 45 80 48 52 81 55 63 69 
4 9 11 12 24 16 18 25 19 22 23 8 28 34 39 35 37 38 15 30 41 43 21 31 42 45 47 48 57 58 1 52 50 51 32 54 56 36 55 59 60 5 40 62 63 64 65 2 68 70 49 69 71 72 13 53 66 3 73 20 74 75 6 76 7 10 77 78 26 67 79 27 29 80 14 17 81 44 46 33 61 
5 13 20 24 8 26 27 1 28 29 30 31 15 44 2 45 46 47 48 21 3 57 58 25 4 32 36 39 40 41 42 6 61 62 63 7 64 65 9 10 11 12 66 49 52 53 54 55 14 74 75 16 17 18 19 76 59 60 22 23 67 68 69 71 72 73 33 34 35 80 37 38 43 77 78 79 50 51 56 81 70 
6 5 14 16 26 13 20 32 24 33 34 35 8 27 1 28 29 30 31 44 49 50 51 45 52 15 21 25 61 62 63 2 46 47 48 3 57 58 4 67 68 69 70 36 39 40 41 42 7 64 65 9 10 11 12 66 74 75 77 78 53 54 55 59 60 80 17 18 19 76 22 23 81 71 72 73 37 38 43 79 56 
7 14 17 18 27 20 33 36 34 2 37 38 44 29 49 30 6 50 51 46 53 9 56 47 54 21 61 62 13 64 65 3 5 57 58 67 16 70 68 15 71 72 19 40 41 26 74 75 10 24 66 11 32 77 78 35 28 76 39 79 8 59 60 45 80 48 1 22 23 31 52 81 55 25 73 63 4 43 69 42 12 
8 15 21 25 1 32 36 5 39 40 41 42 2 49 13 52 53 54 55 3 20 59 60 4 24 6 7 9 10 11 12 26 67 68 69 27 71 72 28 29 30 31 73 14 16 17 18 19 44 77 78 45 46 47 48 79 22 23 57 58 33 34 35 37 38 43 61 62 63 81 64 65 66 50 51 56 74 75 76 70 80 
9 16 18 19 28 24 34 39 35 37 38 15 45 30 52 31 50 51 32 47 54 56 36 48 55 25 62 63 64 65 2 4 57 58 1 68 70 49 69 71 72 13 53 41 42 74 75 6 11 66 3 12 77 78 26 67 76 7 79 27 59 60 5 80 14 17 22 23 8 10 81 44 46 73 20 33 43 21 61 29 40 
10 17 1 22 29 33 2 40 37 3 4 43 46 6 53 50 7 9 56 5 8 11 12 57 59 61 13 64 20 24 66 67 14 16 70 15 18 19 71 21 25 73 23 26 74 27 28 76 32 34 35 77 36 39 79 38 30 31 41 42 44 45 80 47 48 58 49 52 81 51 54 55 60 62 63 65 68 69 72 75 78 
11 18 22 23 30 34 37 41 38 4 43 21 47 50 54 51 9 56 36 57 59 12 40 58 60 62 64 65 24 66 3 68 16 70 49 71 19 53 72 25 73 20 8 74 75 28 76 7 77 35 67 78 39 79 27 15 31 10 42 29 45 80 14 48 17 1 52 81 44 32 55 46 5 63 33 2 69 61 13 6 26 
