id,str
1,2,0,0,[],[[0,0,26]],[[3,2,2],[9,2,6],[27,2,18]],[[3,2],[9,6],[27,18]],[]
2,4,0,0,[[54,9],[54,9],[54,9],[54,9],[54,9],[54,9],[108,3],[108,3]],[[0,0,2],[0,18,6],[1,23,18]],[[3,2,2],[9,2,6],[27,4,18]],[[3,2],[9,6]],[]
3,0,0,0,[[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[18,27],[36,9],[36,9],[36,9],[36,9],[36,9],[36,9],[54,3],[54,3]],[[0,18,2],[1,23,6],[1,25,18]],[[3,2,2],[9,3,6],[27,0,18]],[[3,2]],[[2,1],[3,1],[4,2],[7,2],[10,6],[19,6]]
4,3,0,0,[[162,3],[162,3]],[[0,0,8],[1,17,18]],[[3,2,2],[9,2,6],[27,3,18]],[[3,2],[9,6]],[]
5,2,0,0,[],[[0,0,26]],[[3,2,8],[9,2,18]],[[3,8],[9,18]],[]
6,3,0,0,[[162,3],[162,3]],[[0,0,8],[1,17,18]],[[3,2,2],[3,3,6],[9,2,6],[9,3,12]],[[3,2],[9,6]],[]
7,0,0,0,[[162,3],[162,3]],[[0,0,8],[1,17,18]],[[3,0,6],[3,2,2],[9,0,12],[9,2,6]],[[3,2],[9,6]],[[2,1],[3,1]]
8,3,0,0,[[162,3],[162,3]],[[0,0,8],[0,18,6],[1,17,12]],[[3,2,8],[9,2,6],[9,3,12]],[[3,8],[9,6]],[]
9,3,0,0,[[162,3],[162,3]],[[0,0,8],[0,18,6],[1,17,12]],[[3,2,2],[3,3,6],[9,2,12],[9,3,6]],[[3,2],[9,12]],[]
10,3,0,0,[[162,3],[162,3]],[[0,0,8],[0,18,6],[1,17,12]],[[3,2,8],[9,2,6],[9,3,12]],[[3,8],[9,6]],[]
11,3,0,0,[[216,3],[216,3]],[[0,0,2],[0,18,12],[1,17,12]],[[3,2,8],[9,2,6],[9,3,12]],[[3,8],[9,6]],[]
12,3,0,0,[[216,3],[216,3]],[[0,0,2],[0,18,12],[1,17,12]],[[3,2,2],[3,3,6],[9,2,12],[9,3,6]],[[3,2],[9,12]],[]
13,0,0,0,[[54,9],[54,9],[54,9],[54,9],[54,9],[54,9],[108,3],[108,3]],[[0,0,2],[0,18,6],[1,23,18]],[[3,2,8],[9,0,18]],[[3,8]],[[2,1],[3,1],[4,2],[7,2]]
