[R16Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
2 1 6 7 9 3 4 10 5 8 13 14 11 12 16 15 
3 6 5 8 11 9 10 12 13 14 1 15 2 16 4 7 
4 7 8 5 12 10 9 11 14 13 15 1 16 2 3 6 
5 9 11 12 1 13 14 15 2 16 3 4 6 7 8 10 
6 3 9 10 13 5 8 14 11 12 2 16 1 15 7 4 
7 4 10 9 14 8 5 13 12 11 16 2 15 1 6 3 
8 10 12 11 15 14 13 1 16 2 4 3 7 6 5 9 
9 5 13 14 2 11 12 16 1 15 6 7 3 4 10 8 
10 8 14 13 16 12 11 2 15 1 7 6 4 3 9 5 
11 13 1 15 3 2 16 4 6 7 5 8 9 10 12 14 
12 14 15 1 4 16 2 3 7 6 8 5 10 9 11 13 
13 11 2 16 6 1 15 7 3 4 9 10 5 8 14 12 
14 12 16 2 7 15 1 6 4 3 10 9 8 5 13 11 
15 16 4 3 8 7 6 5 10 9 12 11 14 13 1 2 
16 15 7 6 10 4 3 9 8 5 14 13 12 11 2 1 
[R16Mul]
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 5 1 5 1 5 1 5 5 1 1 5 5 1 5 1 
