id,str
1,[[3,2,2],[9,2,6],[27,2,18]]
2,[[3,2,2],[9,2,6],[27,4,18]]
3,[[3,2,2],[9,3,6],[27,0,18]]
4,[[3,2,2],[9,2,6],[27,3,18]]
5,[[3,2,8],[9,2,18]]
6,[[3,2,2],[3,3,6],[9,2,12],[9,3,6]]
7,[[3,0,6],[3,2,2],[9,0,12],[9,2,6]]
8,[[3,2,8],[9,2,6],[9,3,12]]
9,[[3,2,2],[3,3,6],[9,2,6],[9,3,12]]
10,[[3,2,8],[9,2,6],[9,3,12]]
11,[[3,2,8],[9,2,6],[9,3,12]]
12,[[3,2,2],[3,3,6],[9,2,12],[9,3,6]]
13,[[3,2,8],[9,0,18]]
14,[[3,0,6],[3,2,2],[9,0,18]]
15,[[3,2,8],[9,0,18]]
16,[[3,2,8],[9,3,18]]
17,[[3,0,6],[3,2,2],[9,0,12],[9,3,6]]
18,[[3,2,8],[9,2,18]]
19,[[3,2,8],[9,3,18]]
20,[[3,2,8],[9,0,18]]
21,[[3,2,8],[9,0,18]]
22,[[3,2,2],[3,3,6],[9,0,18]]
23,[[3,2,8],[9,3,18]]
24,[[3,2,8],[9,4,18]]
25,[[3,2,26]]
26,[[3,0,18],[3,2,8]]
27,[[3,0,18],[3,2,8]]
28,[[3,0,18],[3,2,8]]
29,[[3,2,2],[3,3,24]]
30,[[3,0,18],[3,2,8]]
31,[[3,2,14],[3,3,12]]
33,[[3,0,18],[3,2,2],[3,3,6]]
34,[[3,2,2],[3,3,24]]
35,[[3,0,18],[3,2,8]]
36,[[3,0,18],[3,2,8]]
37,[[3,0,18],[3,2,8]]
38,[[3,0,24],[3,2,2]]
39,[[3,2,8],[3,3,18]]
41,[[3,0,24],[3,2,2]]
42,[[3,0,24],[3,2,2]]
43,[[3,0,18],[3,2,8]]
44,[[3,0,18],[3,2,8]]
45,[[3,0,18],[3,2,8]]
46,[[3,0,24],[3,2,2]]
47,[[3,0,24],[3,2,2]]
48,[[3,2,14],[3,3,12]]
49,[[3,0,24],[3,2,2]]
50,[[3,0,26]]
51,[[3,0,26]]
52,[[3,0,18],[3,2,2],[3,3,6]]
53,[[3,2,2],[3,3,6],[9,2,6],[9,3,12]]
54,[[3,2,2],[3,3,6],[9,3,18]]
55,[[3,2,2],[3,3,6],[9,3,18]]
56,[[3,2,8],[3,3,18]]
57,[[3,2,8],[3,4,18]]
58,[[3,2,26]]
59,[[3,0,26]]
