id,str
1,1,[27,1],[27,1],[1]
2,1,[27,1],[27,1],[1]
3,1,[27,1],[R9_3,R3_2],[2]
4,1,[27,1],[27,1],[1]
5,1,[27,1],[27,1],[1]
6,1,[27,1],[27,1],[1]
7,1,[27,1],[R9_1,R3_2],[1,2]
8,1,[R3_1,R9_4],[27,1],[1]
9,1,[R3_1,R9_4],[27,1],[1]
10,1,[R3_1,R9_4],[27,1],[1]
11,1,[27,1],[27,1],[1]
12,1,[27,1],[27,1],[1]
13,1,[27,1],[R9_4,R3_2],[1,2]
14,1,[27,1],[R3_1,R9_10],[2]
15,1,[R3_1,R9_8],[R9_4,R3_2],[2]
16,1,[27,1],[27,1],[1]
17,1,[27,1],[R9_3,R3_2],[1,2]
18,1,[R3_1,R9_4],[27,1],[1]
19,1,[R3_1,R9_4],[27,1],[1]
20,1,[R3_1,R9_7],[R9_4,R3_2],[2]
21,1,[27,1],[R9_4,R3_2],[2]
22,1,[27,1],[R9_5,R3_2],[2]
23,1,[27,1],[27,1],[1]
24,1,[27,1],[27,1],[1]
25,1,[27,1],[27,1],[1]
26,1,[R3_1,R9_7],[R9_4,R3_2],[1,2]
27,1,[27,1],[R9_4,R3_2],[1,2]
28,1,[R3_1,R9_8],[R9_4,R3_2],[1,2]
29,1,[27,1],[27,1],[1]
30,1,[1,27],[R9_4,R3_2],[2]
31,1,[27,1],[27,1],[1]
32,1,[27,1],[R9_5,R3_2],[2]
33,1,[27,1],[R9_5,R3_2],[1,2]
34,1,[R3_1,R9_4],[27,1],[1]
35,1,[27,1],[R9_4,R3_2],[1,2]
36,1,[1,27],[R9_4,R3_2],[2]
37,1,[R3_1,R9_7],[R9_4,R3_2],[2]
38,1,[27,1],[R3_1,R9_10],[1,2]
39,1,[R3_1,R9_4],[27,1],[1]
41,1,[R3_2,R9_7],[R3_1,R9_10],[2]
42,1,[27,1],[R3_1,R9_11],[1]
43,1,[1,27],[R9_4,R3_2],[2]
44,1,[R3_1,R9_8],[R9_4,R3_2],[2]
45,1,[27,1],[R9_4,R3_2],[2]
46,1,[27,1],[R3_1,R9_10],[2]
47,1,[R3_2,R9_8],[R3_1,R9_10],[2]
48,1,[R3_1,R9_4],[27,1],[1]
49,2,[R3_2],[R3_1,R9_10],[2]
50,1,[27,1],[1,27],[2]
51,1,[27,1],[1,27],[2]
52,1,[27,1],[R9_5,R3_2],[2]
53,1,[R3_1,R9_4],[27,1],[1]
54,1,[27,1],[27,1],[1]
55,1,[R3_1,R9_4],[27,1],[1]
56,1,[27,1],[27,1],[1]
57,1,[27,1],[27,1],[1]
58,1,[R3_1,R9_4],[27,1],[1]
59,1,[27,1],[1,27],[]
