[R27Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
2 4 6 5 8 9 11 13 12 17 14 15 10 16 19 20 21 22 18 24 1 25 26 23 3 27 7 
3 6 7 9 12 11 10 15 14 18 17 16 19 21 20 1 22 23 24 2 25 26 5 4 27 8 13 
4 5 9 8 13 12 14 10 15 21 16 19 17 20 18 24 1 25 22 23 2 3 27 26 6 7 11 
5 8 12 13 10 15 16 17 19 1 20 18 21 24 22 23 2 3 25 26 4 6 7 27 9 11 14 
6 9 11 12 15 14 17 19 16 22 21 20 18 1 24 2 25 26 23 4 3 27 8 5 7 13 10 
7 11 10 14 16 17 18 20 21 23 22 1 24 25 2 3 26 5 4 6 27 8 12 9 13 15 19 
8 13 15 10 17 19 20 21 18 2 24 22 1 23 25 26 4 6 3 27 5 9 11 7 12 14 16 
9 12 14 15 19 16 21 18 20 25 1 24 22 2 23 4 3 27 26 5 6 7 13 8 11 10 17 
10 17 18 21 1 22 23 2 25 5 26 3 4 27 6 7 8 12 9 11 13 15 16 14 19 20 24 
11 14 17 16 20 21 22 24 1 26 25 2 23 3 4 6 27 8 5 9 7 13 15 12 10 19 18 
12 15 16 19 18 20 1 22 24 3 2 23 25 4 26 5 6 7 27 8 9 11 10 13 14 17 21 
13 10 19 17 21 18 24 1 22 4 23 25 2 26 3 27 5 9 6 7 8 12 14 11 15 16 20 
14 16 21 20 24 1 25 23 2 27 3 4 26 6 5 9 7 13 8 12 11 10 19 15 17 18 22 
15 19 20 18 22 24 2 25 23 6 4 26 3 5 27 8 9 11 7 13 12 14 17 10 16 21 1 
16 20 1 24 23 2 3 26 4 7 6 5 27 9 8 12 11 10 13 15 14 17 18 19 21 22 25 
17 21 22 1 2 25 26 4 3 8 27 6 5 7 9 11 13 15 12 14 10 19 20 16 18 24 23 
18 22 23 25 3 26 5 6 27 12 8 7 9 13 11 10 15 16 14 17 19 20 1 21 24 2 4 
19 18 24 22 25 23 4 3 26 9 5 27 6 8 7 13 12 14 11 10 15 16 21 17 20 1 2 
20 24 2 23 26 4 6 27 5 11 9 8 7 12 13 15 14 17 10 19 16 21 22 18 1 25 3 
21 1 25 2 4 3 27 5 6 13 7 9 8 11 12 14 10 19 15 16 17 18 24 20 22 23 26 
22 25 26 3 6 27 8 9 7 15 13 11 12 10 14 17 19 20 16 21 18 24 2 1 23 4 5 
23 26 5 27 7 8 12 11 13 16 15 10 14 19 17 18 20 1 21 22 24 2 3 25 4 6 9 
24 23 4 26 27 5 9 7 8 14 12 13 11 15 10 19 16 21 17 18 20 1 25 22 2 3 6 
25 3 27 6 9 7 13 12 11 19 10 14 15 17 16 21 18 24 20 1 22 23 4 2 26 5 8 
26 27 8 7 11 13 15 14 10 20 19 17 16 18 21 22 24 2 1 25 23 4 6 3 5 9 12 
27 7 13 11 14 10 19 16 17 24 18 21 20 22 1 25 23 4 2 3 26 5 9 6 8 12 15 
[R27Mul]
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
1 1 5 1 1 5 10 1 5 1 10 5 1 10 5 10 1 5 5 10 1 5 10 10 5 10 10 
1 1 10 1 1 10 5 1 10 1 5 10 1 5 10 5 1 10 10 5 1 10 5 5 10 5 5 
