[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
2 6 7 9 13 1 14 15 16 17 18 19 26 3 32 4 33 34 35 27 36 37 38 28 39 5 44 45 46 47 48 8 10 11 12 49 50 51 52 53 54 55 56 20 24 61 62 63 21 22 23 25 67 68 69 70 64 65 71 72 29 30 31 74 75 76 40 41 42 43 77 78 79 57 58 80 59 60 81 66 73 
3 7 10 11 20 14 17 21 18 5 22 23 27 33 36 34 13 37 38 29 40 24 43 30 41 44 46 47 8 57 58 49 26 50 51 53 28 56 54 1 59 60 31 61 62 15 64 65 67 45 70 68 2 71 72 48 25 66 4 73 32 74 75 39 76 42 6 77 78 63 9 79 12 52 80 55 16 81 19 69 35 
4 9 11 12 24 16 18 25 19 22 23 1 28 34 39 35 37 38 2 30 41 43 3 31 42 45 47 48 57 58 5 52 50 51 6 54 56 7 55 59 60 8 10 62 63 64 65 13 68 70 14 69 71 72 15 17 66 20 73 21 74 75 26 76 27 29 77 78 32 33 79 36 40 80 44 46 81 49 53 61 67 
5 13 20 24 8 26 27 1 28 29 30 31 15 44 2 45 46 47 48 21 3 57 58 25 4 32 36 39 40 41 42 6 61 62 63 7 64 65 9 10 11 12 66 49 52 53 54 55 14 74 75 16 17 18 19 76 59 60 22 23 67 68 69 71 72 73 33 34 35 80 37 38 43 77 78 79 50 51 56 81 70 
6 1 14 16 26 2 3 32 4 33 34 35 5 7 8 9 10 11 12 44 49 50 51 45 52 13 20 24 61 62 63 15 17 18 19 21 22 23 25 67 68 69 70 27 28 29 30 31 36 37 38 39 40 41 42 43 74 75 77 78 46 47 48 57 58 80 53 54 55 56 59 60 81 64 65 66 71 72 73 76 79 
7 14 17 18 27 3 33 36 34 13 37 38 44 10 49 11 26 50 51 46 53 28 56 47 54 20 61 62 15 64 65 21 5 22 23 67 45 70 68 2 71 72 48 29 30 32 74 75 40 24 43 41 6 77 78 63 39 76 9 79 8 57 58 52 80 55 1 59 60 31 16 81 19 25 66 69 4 73 35 42 12 
8 15 21 25 1 32 36 5 39 40 41 42 2 49 13 52 53 54 55 3 20 59 60 4 24 6 7 9 10 11 12 26 67 68 69 27 71 72 28 29 30 31 73 14 16 17 18 19 44 77 78 45 46 47 48 79 22 23 57 58 33 34 35 37 38 43 61 62 63 81 64 65 66 50 51 56 74 75 76 70 80 
9 16 18 19 28 4 34 39 35 37 38 2 45 11 52 12 50 51 6 47 54 56 7 48 55 24 62 63 64 65 13 25 22 23 1 68 70 14 69 71 72 15 17 30 31 74 75 26 41 43 3 42 77 78 32 33 76 27 79 36 57 58 5 80 44 46 59 60 8 10 81 49 53 66 20 61 73 21 67 29 40 
10 17 5 22 29 33 13 40 37 20 24 43 46 26 53 50 27 28 56 8 1 30 31 57 59 61 15 64 21 25 66 67 44 45 70 2 47 48 71 3 4 73 58 32 74 36 39 76 6 62 63 77 7 9 79 65 41 42 11 12 49 52 80 54 55 60 14 16 81 75 18 19 23 68 69 72 34 35 38 78 51 
11 18 22 23 30 34 37 41 38 24 43 3 47 50 54 51 28 56 7 57 59 31 10 58 60 62 64 65 25 66 20 68 45 70 14 71 48 17 72 4 73 21 5 74 75 39 76 27 77 63 33 78 9 79 36 13 42 29 12 40 52 80 44 55 46 8 16 81 49 26 19 53 1 69 61 15 35 67 2 32 6 
12 19 23 1 31 35 38 42 2 43 3 4 48 51 55 6 56 7 9 58 60 10 11 5 8 63 65 13 66 20 24 69 70 14 16 72 17 18 15 73 21 25 22 75 26 76 27 28 78 33 34 32 79 36 39 37 29 30 40 41 80 44 45 46 47 57 81 49 52 50 53 54 59 61 62 64 67 68 71 74 77 
13 26 27 28 15 5 44 2 45 46 47 48 32 20 6 24 61 62 63 36 7 64 65 39 9 8 49 52 53 54 55 1 29 30 31 14 74 75 16 17 18 19 76 21 25 67 68 69 3 57 58 4 33 34 35 80 71 72 37 38 40 41 42 77 78 79 10 11 12 66 50 51 56 59 60 81 22 23 70 73 43 
14 3 33 34 44 7 10 49 11 26 50 51 20 17 21 18 5 22 23 61 67 45 70 62 68 27 29 30 32 74 75 36 13 37 38 40 24 43 41 6 77 78 63 46 47 8 57 58 53 28 56 54 1 59 60 31 52 80 16 81 15 64 65 25 66 69 2 71 72 48 4 73 35 39 76 42 9 79 12 55 19 
15 32 36 39 2 8 49 13 52 53 54 55 6 21 26 25 67 68 69 7 27 71 72 9 28 1 14 16 17 18 19 5 40 41 42 44 77 78 45 46 47 48 79 3 4 33 34 35 20 59 60 24 61 62 63 81 37 38 64 65 10 11 12 50 51 56 29 30 31 73 74 75 76 22 23 70 57 58 80 43 66 
16 4 34 35 45 9 11 52 12 50 51 6 24 18 25 19 22 23 1 62 68 70 14 63 69 28 30 31 74 75 26 39 37 38 2 41 43 3 42 77 78 32 33 47 48 57 58 5 54 56 7 55 59 60 8 10 80 44 81 49 64 65 13 66 20 61 71 72 15 17 73 21 67 76 27 29 79 36 40 46 53 
17 33 13 37 46 10 26 53 50 27 28 56 61 5 67 22 44 45 70 15 2 47 48 64 71 29 32 74 36 39 76 40 20 24 43 6 62 63 77 7 9 79 65 8 57 49 52 80 1 30 31 59 14 16 81 75 54 55 18 19 21 25 66 68 69 72 3 4 73 58 34 35 38 41 42 78 11 12 51 60 23 
18 34 37 38 47 11 50 54 51 28 56 7 62 22 68 23 45 70 14 64 71 48 17 65 72 30 74 75 39 76 27 41 24 43 3 77 63 33 78 9 79 36 13 57 58 52 80 44 59 31 10 60 16 81 49 26 55 46 19 53 25 66 20 69 61 15 4 73 21 5 35 67 2 42 29 32 12 40 6 8 1 
19 35 38 2 48 12 51 55 6 56 7 9 63 23 69 1 70 14 16 65 72 17 18 13 15 31 75 26 76 27 28 42 43 3 4 78 33 34 32 79 36 39 37 58 5 80 44 45 60 10 11 8 81 49 52 50 46 47 53 54 66 20 24 61 62 64 73 21 25 22 67 68 71 29 30 74 40 41 77 57 59 
20 27 29 30 21 44 46 3 47 8 57 58 36 61 7 62 15 64 65 40 10 25 66 41 11 49 53 54 1 59 60 14 32 74 75 17 39 76 18 5 22 23 42 67 68 2 71 72 33 52 80 34 13 37 38 55 4 73 24 43 6 77 78 9 79 12 26 50 51 69 28 56 31 16 81 19 45 70 48 35 63 
21 36 40 41 3 49 53 20 54 1 59 60 7 67 27 68 2 71 72 10 29 4 73 11 30 14 17 18 5 22 23 44 6 77 78 46 9 79 47 8 57 58 12 33 34 13 37 38 61 16 81 62 15 64 65 19 24 43 25 66 26 50 51 28 56 31 32 74 75 35 39 76 42 45 70 48 52 80 55 63 69 
22 37 24 43 57 50 28 59 56 30 31 10 64 45 71 70 47 48 17 25 4 58 5 66 73 74 39 76 41 42 29 77 62 63 33 9 65 13 79 11 12 40 20 52 80 54 55 46 16 75 26 81 18 19 53 27 60 8 23 1 68 69 61 72 15 21 34 35 67 44 38 2 3 78 32 36 51 6 7 49 14 
23 38 43 3 58 51 56 60 7 31 10 11 65 70 72 14 48 17 18 66 73 5 22 20 21 75 76 27 42 29 30 78 63 33 34 79 13 37 36 12 40 41 24 80 44 55 46 47 81 26 50 49 19 53 54 28 8 57 1 59 69 61 62 15 64 25 35 67 68 45 2 71 4 32 74 39 6 77 9 52 16 
24 28 30 31 25 45 47 4 48 57 58 5 39 62 9 63 64 65 13 41 11 66 20 42 12 52 54 55 59 60 8 16 74 75 26 18 76 27 19 22 23 1 29 68 69 71 72 15 34 80 44 35 37 38 2 46 73 21 43 3 77 78 32 79 36 40 50 51 6 61 56 7 10 81 49 53 70 14 17 67 33 
25 39 41 42 4 52 54 24 55 59 60 8 9 68 28 69 71 72 15 11 30 73 21 12 31 16 18 19 22 23 1 45 77 78 32 47 79 36 48 57 58 5 40 34 35 37 38 2 62 81 49 63 64 65 13 53 43 3 66 20 50 51 6 56 7 10 74 75 26 67 76 27 29 70 14 17 80 44 46 33 61 
26 5 44 45 32 13 20 6 24 61 62 63 8 27 1 28 29 30 31 49 14 74 75 52 16 15 21 25 67 68 69 2 46 47 48 3 57 58 4 33 34 35 80 36 39 40 41 42 7 64 65 9 10 11 12 66 77 78 50 51 53 54 55 59 60 81 17 18 19 76 22 23 70 71 72 73 37 38 43 79 56 
27 44 46 47 36 20 61 7 62 15 64 65 49 29 14 30 32 74 75 53 17 39 76 54 18 21 67 68 2 71 72 3 8 57 58 33 52 80 34 13 37 38 55 40 41 6 77 78 10 25 66 11 26 50 51 69 9 79 28 56 1 59 60 16 81 19 5 22 23 42 45 70 48 4 73 35 24 43 63 12 31 
28 45 47 48 39 24 62 9 63 64 65 13 52 30 16 31 74 75 26 54 18 76 27 55 19 25 68 69 71 72 15 4 57 58 5 34 80 44 35 37 38 2 46 41 42 77 78 32 11 66 20 12 50 51 6 61 79 36 56 7 59 60 8 81 49 53 22 23 1 29 70 14 17 73 21 67 43 3 33 40 10 
29 46 8 57 40 61 15 10 64 21 25 66 53 32 17 74 36 39 76 1 5 41 42 59 22 67 2 71 3 4 73 33 49 52 80 13 54 55 37 20 24 43 60 6 77 7 9 79 26 68 69 50 27 28 56 72 11 12 30 31 14 16 81 18 19 23 44 45 70 78 47 48 58 34 35 38 62 63 65 51 75 
30 47 57 58 41 62 64 11 65 25 66 20 54 74 18 75 39 76 27 59 22 42 29 60 23 68 71 72 4 73 21 34 52 80 44 37 55 46 38 24 43 3 8 77 78 9 79 36 50 69 61 51 28 56 7 15 12 40 31 10 16 81 49 19 53 1 45 70 14 32 48 17 5 35 67 2 63 33 13 6 26 
31 48 58 5 42 63 65 12 13 66 20 24 55 75 19 26 76 27 28 60 23 29 30 8 1 69 72 15 73 21 25 35 80 44 45 38 46 47 2 43 3 4 57 78 32 79 36 39 51 61 62 6 56 7 9 64 40 41 10 11 81 49 52 53 54 59 70 14 16 74 17 18 22 67 68 71 33 34 37 77 50 
32 8 49 52 6 15 21 26 25 67 68 69 1 36 5 39 40 41 42 14 44 77 78 16 45 2 3 4 33 34 35 13 53 54 55 20 59 60 24 61 62 63 81 7 9 10 11 12 27 71 72 28 29 30 31 73 50 51 74 75 17 18 19 22 23 70 46 47 48 79 57 58 80 37 38 43 64 65 66 56 76 
33 10 26 50 61 17 5 67 22 44 45 70 29 13 40 37 20 24 43 32 6 62 63 74 77 46 8 57 49 52 80 53 27 28 56 1 30 31 59 14 16 81 75 15 64 21 25 66 2 47 48 71 3 4 73 58 68 69 34 35 36 39 76 41 42 78 7 9 79 65 11 12 51 54 55 60 18 19 23 72 38 
34 11 50 51 62 18 22 68 23 45 70 14 30 37 41 38 24 43 3 74 77 63 33 75 78 47 57 58 52 80 44 54 28 56 7 59 31 10 60 16 81 49 26 64 65 25 66 20 71 48 17 72 4 73 21 5 69 61 35 67 39 76 27 42 29 32 9 79 36 13 12 40 6 55 46 8 19 53 1 15 2 
35 12 51 6 63 19 23 69 1 70 14 16 31 38 42 2 43 3 4 75 78 33 34 26 32 48 58 5 80 44 45 55 56 7 9 60 10 11 8 81 49 52 50 65 13 66 20 24 72 17 18 15 73 21 25 22 61 62 67 68 76 27 28 29 30 74 79 36 39 37 40 41 77 46 47 57 53 54 59 64 71 
