id,str
6,[3,1,1],[3,2,1]
7,[3,2,1]
9,[4,1,1],[5,1,2]
10,[2,1,1],[5,1,2]
11,[3,1,1],[16,1,2]
12,[1,1,1],[5,1,2]
13,[5,1,2]
14,[1,1,1]
15,[1,1,1]
18,[1,1,1],[4,1,1],[5,1,2]
19,[2,1,1],[5,1,2]
20,[3,2,1]
21,[1,1,1],[4,1,1]
22,[5,1,2]
23,[3,2,1],[16,1,2]
24,[2,1,1],[5,1,2]
25,[2,1,1]
26,[1,1,1],[4,1,1]
27,[7,1,1]
28,[2,1,1]
29,[4,1,1]
30,[7,1,1]
31,[3,2,1]
32,[2,1,1],[5,1,2]
33,[3,2,1],[54,1,2]
35,[16,1,2],[23,1,1]
36,[16,1,2],[23,1,1]
37,[5,1,2],[23,1,1]
38,[5,1,2]
40,[5,1,2],[23,1,1]
41,[5,1,2],[23,1,1]
42,[23,1,1]
43,[23,1,1]
44,[5,1,2],[23,1,1]
45,[23,1,1]
47,[5,1,2]
48,[23,1,1]
49,[5,1,2],[16,1,2]
50,[16,1,2]
51,[16,1,2],[23,1,1]
52,[16,1,2],[23,1,1]
53,[16,1,2],[23,1,1]
54,[23,1,1]
55,[16,1,2],[23,1,1]
63,[23,1,1]
57,[5,1,2],[23,1,1]
58,[23,1,1]
59,[5,1,2],[16,1,2]
60,[5,1,2],[23,1,1]
61,[5,1,2],[23,1,1]
62,[16,1,2]
82,[5,1,2],[23,1,1]
64,[16,1,2],[23,1,1]
65,[16,1,2]
66,[16,1,2],[23,1,1]
67,[16,1,2]
68,[16,1,2]
69,[23,1,1]
70,[23,1,1]
71,[23,1,1]
73,[23,1,1]
75,[16,1,2]
76,[23,1,1]
77,[5,1,2],[23,1,1]
78,[23,1,1]
79,[23,1,1]
80,[23,1,1]
81,[16,1,2],[23,1,1]
56,[23,1,1]
83,[5,1,2],[16,1,2],[23,1,1]
84,[5,1,2],[23,1,1]
85,[23,1,1]
86,[16,1,2]
87,[5,1,2]
88,[23,1,1]
89,[23,1,1]
93,[23,1,1]
95,[5,1,2],[23,1,1]
97,[23,1,1]
99,[23,1,1]
100,[5,1,2],[16,1,2]
103,[16,1,2]
104,[13,1,1],[21,2,1]
108,[16,1,2]
110,[21,2,1]
113,[13,1,1],[16,1,2]
114,[16,1,2],[23,1,1]
115,[23,1,1]
116,[23,1,1]
118,[23,1,1]
119,[23,1,1]
120,[16,1,2],[23,1,1]
121,[5,1,2]
122,[5,1,2]
123,[5,1,2]
124,[16,1,2]
125,[16,1,2],[23,1,1]
126,[16,1,2],[23,1,1]
127,[16,1,2],[23,1,1]
128,[23,1,1]
129,[5,1,2]
130,[23,1,1]
131,[23,1,1]
132,[16,1,2]
134,[23,1,1]
135,[23,1,1]
136,[23,1,1]
138,[23,1,1]
139,[16,1,2]
141,[23,1,1]
142,[16,1,2]
143,[23,1,1]
144,[23,1,1]
145,[16,1,2]
198,[20,2,2]
199,[10,1,2],[11,1,2],[18,1,2]
148,[16,1,2],[56,1,2]
149,[22,2,1]
150,[23,1,1],[56,1,2]
151,[23,1,1]
152,[23,1,1]
153,[23,1,1]
154,[23,1,1],[56,1,2]
155,[5,1,2]
156,[23,1,1]
157,[16,1,2],[25,1,3]
158,[23,1,1]
159,[16,1,2]
160,[7,1,1],[17,1,1],[33,1,1]
161,[54,1,2]
162,[5,1,2],[23,1,1]
163,[23,1,1]
164,[23,1,1],[56,1,2]
165,[16,1,2]
166,[14,2,1]
167,[23,1,1]
168,[16,1,2]
169,[17,1,1]
170,[5,1,2],[56,1,2]
172,[23,1,1]
173,[23,1,1]
175,[23,1,1]
176,[5,1,2],[23,1,1]
177,[5,1,2],[23,1,1]
178,[5,1,2],[56,1,2]
179,[16,1,2]
180,[11,1,2],[16,1,2]
181,[19,1,2]
182,[23,1,1]
183,[16,1,2],[56,1,2]
184,[6,1,2],[10,1,2],[12,1,2],[55,1,2]
185,[9,1,2],[11,1,2],[12,1,2]
186,[9,1,2],[54,1,2]
187,[6,1,2],[8,1,2],[53,1,2],[54,1,2],[55,1,2]
188,[9,1,2],[11,1,2],[12,1,2],[54,1,2]
189,[6,1,2],[8,1,2],[9,1,2],[54,1,2],[55,1,2]
190,[6,1,2],[9,1,2],[12,1,2],[53,1,2]
191,[9,1,2],[12,1,2]
192,[11,1,2],[12,1,2],[31,1,2],[54,1,2]
193,[5,1,2]
194,[23,1,1]
195,[23,1,1]
196,[56,1,2]
197,[9,1,2],[18,1,2],[53,1,2]
198,[20,2,2],[25,1,3]
199,[8,1,2],[10,1,2],[11,1,2],[18,1,2],[19,1,2]
200,[23,1,1]
201,[15,2,2]
204,[13,2,1]
205,[21,2,1],[25,1,3]
206,[5,1,2]
207,[22,2,1],[56,1,2]
208,[17,1,1],[33,1,1]
209,[23,1,1],[25,1,3]
210,[7,1,1]
212,[16,1,2]
213,[23,1,1]
214,[17,1,1],[27,1,2]
215,[23,1,1]
217,[17,1,1],[17,2,1],[38,1,1]
218,[17,2,1],[42,1,1]
219,[13,1,1]
220,[13,1,1],[56,1,2]
222,[13,1,1],[14,2,1]
223,[14,2,1]
225,[17,2,1]
226,[7,2,1]
228,[7,1,1],[27,1,2]
229,[7,2,1]
230,[35,1,1]
231,[8,1,2]
232,[23,1,1]
233,[10,1,2],[25,1,3]
234,[23,1,1],[56,1,2]
235,[17,2,1]
236,[16,1,2]
237,[23,1,1]
239,[16,1,2],[23,1,1]
240,[8,1,2],[17,1,1],[27,1,2]
242,[17,1,1]
244,[14,1,1],[14,2,1]
245,[15,1,2]
246,[5,1,2],[6,1,2]
247,[20,2,2]
248,[9,1,2],[16,1,2]
249,[27,1,2]
250,[27,1,2]
251,[13,2,1],[25,1,3]
