id,str
2,0
7,0
28,0
36,0
1012,0
1014,0
1074,1
2030,0
2031,0
2032,0
2058,0
2084,0
2116,0
2134,0
2192,0
2193,0
3000,0
3003,0
3004,0
3006,1
3009,0
3010,0
3103,0
3167,0
3173,0
3178,1
3852,0
4006,1
4047,0
4052,0
4183,0
4237,0
4239,0
4246,1
4285,0
4342,0
4345,0
4371,1
4388,0
4390,0
4602,0
4667,1
4668,1
4687,1
4689,1
4915,1
5000,1
5001,1
5002,0
5003,1
5004,0
5008,1
5010,1
5011,1
5012,1
5014,1
5016,1
5018,1
5022,1
5024,1
5026,1
5027,1
5036,1
5052,1
5068,1
5071,1
5097,1
5206,1
5493,1
5494,1
5504,1
5505,1
5525,1
5526,1
5536,1
5538,1
5548,0
5549,0
5569,1
5571,0
5608,1
5610,1
5624,1
5644,1
5647,1
5649,1
5650,1
5651,1
5652,1
5653,1
5655,1
5677,1
6369,1
6370,0
6386,1
6442,1
6444,1
6446,0
6447,0
6515,1
6571,0
7539,0
