id,str
38,0
39,0
273,0
274,3
275,3
276,3
277,4
278,0
279,0
280,0
281,0
282,3
283,3
284,0
285,0
286,3
287,4
288,3
289,0
290,3
291,3
292,3
293,0
294,3
295,0
296,0
297,0
298,0
299,0
300,0
301,2
302,0
303,3
304,3
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,3
334,3
335,0
336,0
337,3
338,0
339,0
340,0
341,0
342,0
343,3
344,0
345,4
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,3
358,0
359,0
360,0
361,3
362,3
363,4
364,0
365,0
366,0
367,5
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,3
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
