id,str
126,1,[R3_1,R27_43],[R27_25,R3_2]
266,1,[R9_4,R9_8],[R27_25,R3_2]
128,1,[R9_4,R9_4],[81,1]
135,1,[R9_1,R9_4],[81,1]
136,1,[R9_4,R9_4],[81,1]
137,1,[R9_4,R9_4],[81,1]
138,1,[R9_4,R9_4],[81,1]
139,1,[81,1],[81,1]
140,1,[R9_4,R9_4],[81,1]
141,1,[R9_4,R9_4],[81,1]
142,1,[R9_4,R9_4],[81,1]
143,1,[81,1],[81,1]
149,1,[81,1],[R27_56,R3_2]
150,1,[R9_4,R9_4],[81,1]
151,1,[R9_4,R9_4],[81,1]
152,1,[R9_4,R9_4],[81,1]
153,1,[R9_4,R9_4],[81,1]
154,1,[R9_4,R9_4],[81,1]
155,1,[R9_4,R9_4],[81,1]
156,1,[81,1],[81,1]
157,1,[R9_4,R9_4],[81,1]
158,1,[R9_4,R9_4],[81,1]
159,1,[R9_4,R9_4],[81,1]
265,1,[R9_4,R9_7],[R27_25,R3_2]
259,1,[R9_4,R9_4],[81,1]
162,1,[81,1],[81,1]
164,1,[R9_4,R9_4],[81,1]
165,1,[R9_4,R9_4],[81,1]
166,1,[81,1],[R9_4,R9_10]
167,1,[R9_4,R9_4],[81,1]
168,1,[R9_4,R9_4],[81,1]
262,1,[R9_4,R9_4],[81,1]
170,1,[R9_4,R9_4],[81,1]
171,1,[R9_4,R9_4],[81,1]
172,1,[R9_4,R9_4],[81,1]
175,1,[R9_4,R9_4],[81,1]
176,1,[R9_4,R9_4],[81,1]
177,1,[R9_4,R9_4],[81,1]
178,1,[R9_4,R9_4],[81,1]
268,1,[R9_4,R9_4],[81,1]
182,1,[R9_4,R9_4],[81,1]
183,1,[R9_4,R9_4],[81,1]
193,1,[81,1],[81,1]
194,1,[81,1],[81,1]
195,1,[81,1],[81,1]
196,1,[81,1],[81,1]
198,1,[R3_1,R27_30],[R27_25,R3_2]
200,1,[81,1],[81,1]
201,1,[R3_1,R27_36],[R27_25,R3_2]
202,1,[R9_4,R9_4],[81,1]
203,1,[R9_4,R9_7],[R27_25,R3_2]
204,1,[R9_4,R9_8],[R27_25,R3_2]
205,1,[81,1],[R27_25,R3_2]
222,1,[R9_2,R9_7],[R9_4,R9_10]
247,1,[R9_6,R9_7],[R9_4,R9_10]
261,1,[R9_4,R9_4],[81,1]
209,1,[R9_4,R9_4],[81,1]
232,1,[81,1],[81,1]
271,1,[R9_4,R9_4],[81,1]
213,1,[R9_4,R9_4],[81,1]
234,1,[R9_4,R9_4],[81,1]
215,1,[R9_4,R9_4],[81,1]
264,1,[R9_4,R9_4],[81,1]
237,1,[R9_4,R9_4],[81,1]
148,1,[81,1],[81,1]
219,1,[81,1],[R27_25,R3_2]
239,1,[R9_4,R9_4],[81,1]
241,1,[R9_4,R9_4],[81,1]
258,1,[R9_4,R9_4],[81,1]
240,1,[R9_6,R9_4],[R27_8,R3_2]
224,1,[R9_4,R9_4],[81,1]
226,1,[R9_1,R9_7],[R27_5,R3_2]
206,1,[81,1],[81,1]
228,1,[81,1],[R27_5,R3_2]
231,1,[R9_4,R9_4],[81,1]
238,1,[81,1],[81,1]
216,1,[81,1],[R9_4,R9_10]
246,1,[R9_4,R9_4],[81,1]
248,1,[81,1],[81,1]
212,1,[81,1],[81,1]
272,1,[R9_4,R9_4],[81,1]
251,1,[81,1],[R27_25,R3_2]
253,1,[R9_4,R9_4],[81,1]
253,1,[R9_4,R9_4],[81,1]
200,1,[81,1],[81,1]
258,1,[R9_4,R9_4],[81,1]
259,1,[R9_4,R9_4],[81,1]
261,1,[R9_4,R9_4],[81,1]
262,1,[R9_4,R9_4],[81,1]
263,1,[R9_4,R9_4],[81,1]
264,1,[R9_4,R9_4],[81,1]
268,1,[R9_4,R9_4],[81,1]
269,1,[R9_4,R9_4],[81,1]
292,1,[81,1],[81,1]
294,1,[R9_1,R9_4],[81,1]
298,1,[R9_4,R9_4],[81,1]
299,1,[R9_4,R9_4],[81,1]
300,2,[R3_2],[81,1]
301,1,[81,1],[81,1]
323,1,[81,1],[81,1]
304,1,[R9_9,R9_7],[R9_4,R9_10]
307,1,[81,1],[R27_57,R3_2]
308,1,[R9_4,R9_7],[R27_25,R3_2]
309,1,[R9_5,R9_7],[R27_56,R3_2]
310,1,[R9_6,R9_7],[R9_4,R9_10]
379,1,[R9_4,R9_4],[81,1]
376,1,[R3_1,R27_36],[R27_48,R3_2]
313,1,[1,81],[R27_48,R3_2]
312,1,[1,81],[R9_4,R9_10]
363,1,[R9_4,R9_4],[81,1]
308,1,[R9_4,R9_7],[R27_25,R3_2]
317,1,[R9_4,R9_4],[81,1]
319,1,[R9_4,R9_4],[81,1]
305,1,[81,1],[R27_25,R3_2]
354,1,[R9_4,R9_8],[R27_25,R3_2]
324,1,[81,1],[R9_4,R9_11]
387,1,[81,1],[81,1]
330,2,[R9_6],[R9_4,R9_10]
399,1,[81,1],[R9_5,R9_11]
336,1,[R9_4,R9_7],[R27_25,R3_2]
346,1,[R9_4,R9_4],[81,1]
343,1,[1,81],[R27_48,R3_2]
344,1,[R9_6,R9_4],[R27_48,R3_2]
314,1,[81,1],[R9_4,R9_10]
350,1,[R3_2,R27_30],[R9_4,R9_10]
352,1,[R9_6,R9_8],[R9_4,R9_10]
353,1,[1,81],[R9_4,R9_10]
355,1,[R9_5,R9_8],[R27_56,R3_2]
356,2,[R9_9],[R9_4,R9_10]
357,1,[1,81],[R27_48,R3_2]
400,1,[R9_4,R9_4],[81,1]
360,1,[R9_5,R9_7],[R27_56,R3_2]
329,1,[81,1],[R27_25,R3_2]
330,2,[R9_6],[R9_4,R9_10]
345,1,[81,1],[81,1]
366,1,[R9_4,R9_4],[81,1]
370,1,[1,81],[R9_4,R9_10]
372,1,[1,81],[R9_4,R9_10]
373,1,[1,81],[R9_4,R9_10]
374,2,[R9_9],[R9_4,R9_10]
375,1,[1,81],[R27_48,R3_2]
376,1,[R3_1,R27_36],[R27_48,R3_2]
378,1,[1,81],[R9_4,R9_11]
380,2,[R9_10],[R3_1,R27_50]
381,1,[1,81],[R9_4,R9_11]
382,1,[R9_4,R9_4],[81,1]
383,1,[81,1],[R9_4,R9_11]
384,1,[R9_6,R9_7],[R9_4,R9_10]
386,1,[R9_4,R9_4],[81,1]
361,1,[81,1],[81,1]
388,1,[81,1],[1,81]
394,1,[81,1],[R9_5,R9_10]
398,1,[1,81],[R9_4,R9_10]
335,1,[R3_1,R27_36],[R27_25,R3_2]
400,1,[R9_4,R9_4],[81,1]
401,1,[R9_4,R9_8],[R27_25,R3_2]
365,1,[1,81],[R9_4,R9_10]
406,1,[R9_4,R9_4],[81,1]
407,1,[R9_5,R9_4],[81,1]
408,1,[R9_4,R9_4],[81,1]
337,1,[R9_4,R9_4],[81,1]
413,1,[R9_4,R9_4],[81,1]
393,1,[81,1],[R27_25,R3_2]
